,refNum
0,1
1,2
2,3
3,5
4,6
5,8
6,9
7,10
8,11
9,12
10,13
11,14
12,15
13,17
14,18
15,21
16,22
17,24
18,25
19,26
20,27
21,28
22,29
23,30
24,31
25,32
26,33
27,34
28,35
29,36
30,37
31,38
32,39
33,40
34,41
35,42
36,43
37,44
38,45
39,46
40,47
41,48
42,50
43,51
44,52
45,53
46,54
47,55
48,56
49,57
50,58
51,59
52,60
53,61
54,62
55,63
56,65
57,70
58,73
59,75
60,76
61,79
62,80
63,81
64,82
65,83
66,84
67,85
68,86
69,87
70,89
71,90
72,91
73,92
74,93
75,95
76,96
77,97
78,98
79,99
80,101
81,102
82,103
83,104
84,105
85,106
86,107
87,108
88,109
89,111
90,114
91,115
92,116
93,117
94,118
95,119
96,121
97,124
98,128
99,129
100,132
101,133
102,135
103,138
104,141
105,142
106,143
107,145
108,147
109,148
110,150
111,151
112,152
113,153
114,154
115,155
116,156
117,157
118,159
119,160
120,161
121,162
122,164
123,165
124,166
125,167
126,168
127,169
128,170
129,173
130,174
131,175
132,178
133,179
134,181
135,182
136,183
137,186
138,187
139,188
140,189
141,190
142,191
143,193
144,195
145,196
146,197
147,199
148,200
149,201
150,205
151,207
152,208
153,209
154,210
155,211
156,212
157,213
158,215
159,217
160,218
161,219
162,221
163,222
164,223
165,224
166,226
167,227
168,228
169,229
170,231
171,236
172,239
173,240
174,242
175,243
176,245
177,246
178,247
179,248
180,249
181,250
182,255
183,257
184,258
185,260
186,263
187,264
188,266
189,268
190,269
191,270
192,273
193,275
194,276
195,277
196,281
197,283
198,285
199,286
200,287
201,288
202,289
203,290
204,291
205,292
206,294
207,295
208,296
209,300
210,301
211,303
212,305
213,306
214,308
215,309
216,310
217,311
218,312
219,315
220,316
221,318
222,319
223,320
224,321
225,323
226,324
227,325
228,326
229,327
230,328
231,331
232,333
233,335
234,336
235,337
236,338
237,339
238,341
239,342
240,345
241,348
242,349
243,353
244,354
245,358
246,361
247,366
248,368
249,369
250,370
251,372
252,374
253,376
254,377
255,378
256,379
257,381
258,382
259,383
260,385
261,386
262,387
263,388
264,390
265,391
266,392
267,395
268,397
269,400
270,406
271,407
272,410
273,412
274,414
275,415
276,416
277,417
278,419
279,420
280,422
281,425
282,427
283,430
284,435
285,436
286,437
287,438
288,439
289,440
290,443
291,444
292,447
293,448
294,452
295,454
296,455
297,456
298,458
299,459
300,460
301,461
302,462
303,464
304,465
305,466
306,467
307,469
308,470
309,471
310,472
311,473
312,475
313,476
314,477
315,478
316,479
317,480
318,481
319,482
320,483
321,485
322,486
323,488
324,489
325,490
326,495
327,497
328,501
329,502
330,504
331,505
332,506
333,507
334,509
335,510
336,511
337,517
338,518
339,519
340,520
341,521
342,523
343,524
344,526
345,528
346,530
347,531
348,532
349,533
350,536
351,537
352,539
353,540
354,541
355,543
356,544
357,546
358,547
359,549
360,555
361,556
362,557
363,561
364,563
365,564
366,567
367,569
368,571
369,572
370,573
371,574
372,575
373,576
374,577
375,580
376,581
377,582
378,583
379,585
380,587
381,589
382,590
383,591
384,593
385,594
386,595
387,597
388,598
389,599
390,602
391,605
392,606
393,610
394,613
395,614
396,617
397,618
398,619
399,620
400,621
401,624
402,626
403,627
404,633
405,634
406,635
407,639
408,643
409,645
410,646
411,647
412,648
413,653
414,654
415,657
416,659
417,661
418,663
419,664
420,665
421,666
422,667
423,668
424,670
425,672
426,673
427,674
428,675
429,676
430,677
431,678
432,679
433,680
434,682
435,683
436,684
437,685
438,686
439,687
440,688
441,689
442,690
443,691
444,693
445,695
446,696
447,697
448,698
449,701
450,703
451,704
452,706
453,707
454,708
455,709
456,710
457,711
458,712
459,713
460,714
461,715
462,717
463,719
464,721
465,722
466,725
467,727
468,730
469,732
470,733
471,734
472,738
473,739
474,741
475,742
476,745
477,746
478,748
479,751
480,752
481,754
482,764
483,765
484,766
485,767
486,768
487,769
488,770
489,771
490,772
491,773
492,774
493,776
494,777
495,778
496,779
497,780
498,784
499,785
500,786
501,788
502,790
503,792
504,793
505,794
506,796
507,797
508,799
509,800
510,801
511,802
512,803
513,805
514,806
515,807
516,810
517,811
518,813
519,814
520,815
521,816
522,817
523,819
524,821
525,822
526,823
527,824
528,825
529,826
530,827
531,831
532,832
533,833
534,834
535,835
536,837
537,838
538,842
539,843
540,844
541,846
542,849
543,850
544,851
545,852
546,853
547,854
548,856
549,860
550,861
551,862
552,863
553,864
554,866
555,868
556,869
557,870
558,871
559,872
560,873
561,874
562,875
563,876
564,877
565,878
566,879
567,880
568,881
569,882
570,883
571,884
572,885
573,886
574,887
575,888
576,890
577,891
578,892
579,893
580,894
581,896
582,898
583,900
584,901
585,902
586,903
587,904
588,905
589,906
590,908
591,909
592,910
593,911
594,912
595,914
596,915
597,917
598,918
599,920
600,922
601,924
602,925
603,926
604,927
605,929
606,930
607,934
608,935
609,938
610,939
611,940
612,942
613,943
614,944
615,945
616,946
617,947
618,948
619,950
620,951
621,953
622,954
623,956
624,957
625,958
626,959
627,961
628,964
629,965
630,966
631,967
632,968
633,969
634,973
635,974
636,976
637,977
638,978
639,980
640,982
641,983
642,984
643,986
644,988
645,991
646,993
647,994
648,995
649,996
650,997
651,998
652,999
653,1000
654,1001
655,1003
656,1006
657,1007
658,1008
659,1009
660,1010
661,1011
662,1012
663,1013
664,1015
665,1016
666,1017
667,1018
668,1021
669,1022
670,1023
671,1024
672,1026
673,1027
674,1028
675,1029
676,1030
677,1031
678,1033
679,1034
680,1035
681,1037
682,1038
683,1039
684,1040
685,1041
686,1042
687,1043
688,1045
689,1046
690,1047
691,1048
692,1049
693,1051
694,1053
695,1054
696,1055
697,1056
698,1057
699,1058
700,1059
701,1060
702,1061
703,1062
704,1065
705,1067
706,1068
707,1069
708,1070
709,1071
710,1072
711,1074
712,1075
713,1076
714,1077
715,1079
716,1080
717,1081
718,1082
719,1083
720,1084
721,1085
722,1086
723,1091
724,1093
725,1099
726,1100
727,1101
728,1103
729,1106
730,1107
731,1109
732,1110
733,1111
734,1112
735,1113
736,1115
737,1116
738,1117
739,1119
740,1121
741,1122
742,1123
743,1124
744,1125
745,1126
746,1127
747,1128
748,1129
749,1130
750,1131
751,1132
752,1133
753,1134
754,1135
755,1136
756,1137
757,1140
758,1142
759,1143
760,1144
761,1145
762,1146
763,1148
764,1149
765,1150
766,1151
767,1152
768,1153
769,1155
770,1157
771,1158
772,1160
773,1162
774,1164
775,1165
776,1166
777,1167
778,1168
779,1169
780,1170
781,1171
782,1172
783,1173
784,1174
785,1175
786,1176
787,1177
788,1178
789,1179
790,1181
791,1183
792,1184
793,1185
794,1186
795,1188
796,1189
797,1190
798,1191
799,1192
800,1193
801,1194
802,1197
803,1199
804,1200
805,1201
806,1202
807,1203
808,1204
809,1205
810,1206
811,1207
812,1208
813,1209
814,1210
815,1212
816,1215
817,1216
818,1217
819,1218
820,1220
821,1222
822,1223
823,1224
824,1225
825,1226
826,1229
827,1231
828,1234
829,1235
830,1236
831,1237
832,1238
833,1241
834,1243
835,1244
836,1245
837,1246
838,1247
839,1248
840,1249
841,1250
842,1251
843,1252
844,1253
845,1254
846,1256
847,1257
848,1258
849,1259
850,1260
851,1262
852,1263
853,1265
854,1266
855,1267
856,1268
857,1269
858,1270
859,1271
860,1272
861,1273
862,1274
863,1275
864,1276
865,1277
866,1278
867,1279
868,1280
869,1281
870,1282
871,1284
872,1286
873,1287
874,1289
875,1290
876,1291
877,1292
878,1293
879,1295
880,1296
881,1297
882,1298
883,1299
884,1300
885,1302
886,1304
887,1306
888,1307
889,1308
890,1309
891,1310
892,1311
893,1312
894,1313
895,1315
896,1317
897,1318
898,1319
899,1322
900,1324
