"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates"
"1",1,"avrate","1",0.209188426356661,0.000714012684700751,1.20966747792573,0.967207636197863,1.51290721080686,0.190345510209389,0.0953517304142451,"1"
"3",3,"avrate+position","3",0.209613163669046,0.0129602449154576,1.26960701087521,1.01494444027281,1.58816768495252,0.238707412328248,0.0366329566539446,"2"
"5",5,"avrate+yellowCards","5",0.170303742751893,0.0253483345765002,1.2694732699916,1.0242686252249,1.57337864651407,0.238602066400636,0.029336027579497,"2"
"7",7,"avrate+position+yellowCards","7",0.172978901698467,0.0378399367518174,1.33967075776916,1.08037755152658,1.66119495604648,0.292423880615512,0.00771339424485589,"3"
"9",9,"avrate+height","9",0.210191368219554,0.00309483457087397,1.23552726682629,0.988722829969065,1.54393888843348,0.211497815669848,0.0628554001523142,"2"
"11",11,"avrate+position+height","11",0.209843761443557,0.0132538556968878,1.27450085896466,1.01911303688114,1.59388839188318,0.242554618795878,0.0335114261138925,"3"
"13",13,"avrate+yellowCards+height","13",0.171149578880207,0.0288068680488667,1.30124380859126,1.05156421170343,1.61020642444099,0.263320582888659,0.0154131114220726,"3"
"15",15,"avrate+position+yellowCards+height","15",0.173142434100384,0.0382435590003322,1.34534111417293,1.08536624892296,1.66758706130776,0.296647597384029,0.00677570469790259,"4"
"17",17,"avrate+weight","17",0.210259370632537,0.00364842248792577,1.21959893874311,0.976415948922609,1.52334829539046,0.198522065963586,0.0801835717585224,"2"
"19",19,"avrate+position+weight","19",0.210037410678557,0.0136987053653558,1.26727671279315,1.01359444475383,1.58445054143707,0.23687027748779,0.0376682515265193,"3"
"21",21,"avrate+yellowCards+weight","21",0.171499492517744,0.0289403856616636,1.27872554838087,1.03346983720643,1.58218360054117,0.245863916600099,0.0236366529657899,"3"
"23",23,"avrate+position+yellowCards+weight","23",0.173399947141477,0.038444167385735,1.33717673726235,1.07884034869756,1.65737370578901,0.290560478809393,0.00798254936949233,"4"
"25",25,"avrate+height+weight","25",0.210344889833937,0.00375510245896927,1.22583567295408,0.98092453174707,1.53189470591632,0.203622793419647,0.073357611399262,"3"
"27",27,"avrate+position+height+weight","27",0.210022538461458,0.0137147794727351,1.2653648075173,1.01164592998255,1.58271589757783,0.235360465993581,0.039267375470968,"4"
"29",29,"avrate+yellowCards+height+weight","29",0.171477622813635,0.0293272058964886,1.29201201384808,1.04395540717807,1.59900991215715,0.256200703961206,0.0185002708447376,"4"
"31",31,"avrate+position+yellowCards+height+weight","31",0.173376429571294,0.0384536855325371,1.33917305124788,1.08010284958073,1.6603830476743,0.29205229752781,0.00775785909720925,"5"
"33",33,"avrate+club","33",0.403720478846869,0.275062749364388,1.03354901397081,0.819292818427636,1.30383611360117,0.0329985242408967,0.780704697678738,"2"
"35",35,"avrate+position+club","35",0.403924977830017,0.283288336222337,1.07859279246768,0.854493462968153,1.36146437905119,0.0756572215953846,0.524332367097817,"3"
"37",37,"avrate+yellowCards+club","37",0.407054584684668,0.327487003442259,1.08945864375008,0.871668379979414,1.36166478411182,0.0856809157560437,0.451471276360944,"3"
"39",39,"avrate+position+yellowCards+club","39",0.407515046033277,0.335309010060534,1.13668335589892,0.908898294788712,1.42155514977391,0.128114685128543,0.261520904650949,"4"
"41",41,"avrate+height+club","41",0.40376603325917,0.278790197443717,1.04707543432139,0.83166469292184,1.31828004061051,0.0460009773555178,0.695468522827326,"3"
"43",43,"avrate+position+height+club","43",0.403933845452107,0.284519690325826,1.07526259750185,0.852617088386103,1.35604794852862,0.0725649084948242,0.539868652128596,"4"
"45",45,"avrate+yellowCards+height+club","45",0.407164763739206,0.332456568950506,1.10292438081929,0.884896785121327,1.37467127269406,0.0979651801870783,0.383330485448687,"4"
"47",47,"avrate+position+yellowCards+height+club","47",0.407591412796309,0.336898306007735,1.1330304572547,0.907009530134618,1.41537434218169,0.124895863639282,0.27124716154178,"5"
"49",49,"avrate+weight+club","49",0.403906498166811,0.279538447605577,1.01002396341117,0.802239150449236,1.27162630506569,0.00997405672137797,0.932360204525213,"3"
"51",51,"avrate+position+weight+club","51",0.404084298053796,0.285079024979616,1.04640528900296,0.829204644956421,1.32049915001491,0.0453607561833284,0.702354528734963,"4"
"53",53,"avrate+yellowCards+weight+club","53",0.407418091237948,0.332667097900673,1.05778640229039,0.848351650429368,1.31892484950567,0.0561784248596034,0.617750354398114,"4"
"55",55,"avrate+position+yellowCards+weight+club","55",0.407835851732156,0.337069075723179,1.10452318236329,0.883390321685346,1.38101067040269,0.0994137326693483,0.383108493770391,"5"
"57",57,"avrate+height+weight+club","57",0.403893247331785,0.279740734987106,1.02065755189176,0.810060654186783,1.28600473661999,0.0204470783104256,0.862323519660266,"4"
"59",59,"avrate+position+height+weight+club","59",0.404073550214931,0.285105732200634,1.0486081931522,0.830485023802767,1.32402043532464,0.0474637545457638,0.689966495568725,"5"
"61",61,"avrate+yellowCards+height+weight+club","61",0.40736413566392,0.333212810149816,1.07634813405753,0.862781516891518,1.34277946734781,0.0735739540734396,0.514398450884562,"5"
"63",63,"avrate+position+yellowCards+height+weight+club","63",0.407783503079653,0.337236629516878,1.11178434322408,0.888804376368019,1.3907047025232,0.105966241070816,0.353494587942772,"6"
"65",65,"avrate+age","65",0.213890148467301,0.0173300220502156,1.24398773990131,0.996353100619205,1.55316975082733,0.218322138883624,0.0538919117108943,"2"
"67",67,"avrate+position+age","67",0.215338873939517,0.027112464040758,1.27701465873888,1.02180092946084,1.59597274930496,0.244525056028279,0.0315907765594824,"3"
"69",69,"avrate+yellowCards+age","69",0.177719058735524,0.0369441108359151,1.29388913504065,1.04388126224185,1.60377348874032,0.257652516241878,0.0186729299514321,"3"
"71",71,"avrate+position+yellowCards+age","71",0.179383148675822,0.0462383181508075,1.3404777321513,1.0804303739753,1.66311554513421,0.293026066956721,0.00774470371242731,"4"
"73",73,"avrate+height+age","73",0.214338474528267,0.0186274960608625,1.26380111691868,1.01283171341077,1.57695818760085,0.234123939134862,0.038186370144071,"3"
"75",75,"avrate+position+height+age","75",0.215486888701843,0.0273520834837087,1.28177260815609,1.02588543854152,1.60148585533586,0.248243970032916,0.0288966819311357,"4"
"77",77,"avrate+yellowCards+height+age","77",0.177886916047756,0.0393746545173049,1.32066811223876,1.06699877232668,1.63464505107254,0.278137754185204,0.0105917327163831,"4"
"79",79,"avrate+position+yellowCards+height+age","79",0.179474148721659,0.0466173027040851,1.34604650201308,1.08536402972162,1.66933962796461,0.29717177892671,0.00681349352534371,"5"
"81",81,"avrate+weight+age","81",0.214107013825694,0.0183524113129782,1.24906496761345,1.00119649349868,1.55829879893728,0.222395245493996,0.0487743036673254,"3"
"83",83,"avrate+position+weight+age","83",0.215445944196685,0.0273643433469063,1.27515324842141,1.02063133598915,1.59314705479213,0.24306636622789,0.0323761593412665,"4"
"85",85,"avrate+yellowCards+weight+age","85",0.177851416937122,0.0387819189872342,1.29938109438156,1.0496981428206,1.60845404937023,0.261888069859877,0.0161518987682206,"4"
"87",87,"avrate+position+yellowCards+weight+age","87",0.179519950312825,0.0465187801753383,1.3385240332891,1.07920320795265,1.66015684024092,0.291567539206767,0.00796123087021347,"5"
"89",89,"avrate+height+weight+age","89",0.21429993934982,0.0186600678708348,1.26013177932088,1.00968372623141,1.57270248098507,0.231216302257172,0.0408342899923913,"4"
"91",91,"avrate+position+height+weight+age","91",0.215484724902089,0.0273959867336289,1.27823655942775,1.02280925964791,1.59745200431617,0.245481440099884,0.0309085693859137,"5"
"93",93,"avrate+yellowCards+height+weight+age","93",0.177901268845922,0.0394282470383782,1.31659149730572,1.06347244257488,1.62995588920084,0.275046197961307,0.0115735168531457,"5"
"95",95,"avrate+position+yellowCards+height+weight+age","95",0.179498826576595,0.0466308365352031,1.34441734883896,1.08375709824539,1.66777039872262,0.29596072130724,0.00711496637622929,"6"
"97",97,"avrate+club+age","97",0.408051753148602,0.283738014074817,1.0970703971966,0.870878032317555,1.3820115007405,0.0926433517014074,0.431631987612833,"3"
"99",99,"avrate+position+club+age","99",0.408053086809784,0.290136961235984,1.1149553698251,0.884190730464284,1.40594719427681,0.108814377048286,0.357736947221124,"4"
"101",101,"avrate+yellowCards+club+age","101",0.410936279063312,0.33151714759092,1.13668509026531,0.909288062974993,1.4209501334529,0.128116210940512,0.260603422614885,"4"
"103",103,"avrate+position+yellowCards+club+age","103",0.410745742093339,0.33770983401381,1.16001962124796,0.927180098843406,1.45133132533675,0.148436919844149,0.19410116656858,"5"
"105",105,"avrate+height+club+age","105",0.408004195339515,0.286619964489105,1.10616214332092,0.879560258791808,1.39114367103978,0.100896495719224,0.388309540454244,"4"
"107",107,"avrate+position+height+club+age","107",0.429242178516141,0.31669596814177,1.11201852712631,0.882679501367567,1.40094474014213,0.106176856774408,0.367590908702889,"5"
"109",109,"avrate+yellowCards+height+club+age","109",0.410776051226943,0.335961378614442,1.14609950429562,0.919293878007796,1.42886198327923,0.136364442006351,0.225500949508961,"5"
"111",111,"avrate+position+yellowCards+height+club+age","111",0.410811179896478,0.339338046399297,1.1567283683954,0.92566464886382,1.44547004132977,0.145595648301961,0.20034252567042,"6"
"113",113,"avrate+weight+club+age","113",0.429115705863688,0.312036756391942,1.07233253261859,0.85231839740506,1.34914025558189,0.069836212885293,0.551128127624184,"4"
"115",115,"avrate+position+weight+club+age","115",0.429233893369701,0.316739750687543,1.08773824610484,0.862669408514257,1.37152712309222,0.0841005368648772,0.477065612882484,"5"
"117",117,"avrate+yellowCards+weight+club+age","117",0.410762640221596,0.335579453213081,1.10249918074135,0.883722101342546,1.37543741600302,0.0975795852468421,0.387234337989442,"5"
"119",119,"avrate+position+yellowCards+weight+club+age","119",0.410875746215505,0.339183747634198,1.13126668398196,0.904348085917034,1.41512359037043,0.123337964194591,0.280244133423299,"6"
"121",121,"avrate+height+weight+club+age","121",0.429154536851035,0.312417539863436,1.09066563507647,0.866217948790586,1.37327046755104,0.0867881842374089,0.460352493305422,"5"
"123",123,"avrate+position+height+weight+club+age","123",0.429243820695906,0.316897095621683,1.09643136271284,0.869101546748892,1.38322355729009,0.0920606902114301,0.43742535587569,"6"
"125",125,"avrate+yellowCards+height+weight+club+age","125",0.410771969070942,0.336317558284527,1.12772638118333,0.903449831683681,1.4076783748432,0.120203553778101,0.288013373098084,"6"
"127",127,"avrate+position+yellowCards+height+weight+club+age","127",0.410854544140618,0.339495300132719,1.14378463117336,0.91396378183597,1.43139510395082,0.134342615770723,0.240448013064523,"7"
"129",129,"avrate+meanIAT","129",0.209534723081743,0.000804359777004736,1.21216872599004,0.969090593320349,1.51621843241089,0.192411090820982,0.0919869576922077,"2"
"131",131,"avrate+position+meanIAT","131",0.209966310960086,0.0130495571909407,1.27268272080246,1.01726117425308,1.59223742026566,0.241127051120412,0.0348842909308298,"3"
"133",133,"avrate+yellowCards+meanIAT","133",0.170520219177091,0.0253720031492651,1.27186964059363,1.02601120209274,1.57664202823931,0.240487975856063,0.0282166253993896,"3"
"135",135,"avrate+position+yellowCards+meanIAT","135",0.173213748945664,0.0378674875664476,1.34279675697889,1.0826736371204,1.66541704603501,0.294754571002338,0.00729628597948801,"4"
"137",137,"avrate+height+meanIAT","137",0.210569264728045,0.00320027587480985,1.23869446939608,0.991141192579328,1.54807811440006,0.21405797772271,0.0598711926681228,"3"
"139",139,"avrate+position+height+meanIAT","139",0.210207905476946,0.0133470791620435,1.27783749441531,1.02164106243527,1.59828018094862,0.245169191700756,0.0317533577497731,"4"
"141",141,"avrate+yellowCards+height+meanIAT","141",0.171403639194914,0.0288424394086755,1.30460016772746,1.05408258941634,1.61465677805847,0.265896608946046,0.0145209119529968,"4"
"143",143,"avrate+position+yellowCards+height+meanIAT","143",0.173388718326856,0.0382756410955248,1.34881846229097,1.08794776370081,1.67224135654118,0.299228996109922,0.00636001528951109,"5"
"145",145,"avrate+weight+meanIAT","145",0.210633481496456,0.00375283899024151,1.22242664252336,0.978566669607262,1.52705680947693,0.200837934450587,0.076875110024688,"3"
"147",147,"avrate+position+weight+meanIAT","147",0.210401016045515,0.0137921816688756,1.2704547990473,1.01599926402317,1.58863835199145,0.239374945850662,0.0358031377146959,"4"
"149",149,"avrate+yellowCards+weight+meanIAT","149",0.171747163155256,0.0289751982945172,1.28157706909584,1.03558676363403,1.58599920519331,0.248091404768517,0.0225162149990411,"4"
"151",151,"avrate+position+yellowCards+weight+meanIAT","151",0.173644802093062,0.0384757649514744,1.34042475313739,1.08124208808431,1.66173564516601,0.292986543688563,0.00753022181157115,"5"
"153",153,"avrate+height+weight+meanIAT","153",0.210723958472898,0.00386135701629851,1.22893582306385,0.983281780237978,1.53596180419828,0.206148610395264,0.0700187179928649,"4"
"155",155,"avrate+position+height+weight+meanIAT","155",0.210385803552317,0.0138074861992487,1.26864553831035,1.0141212930051,1.58705029958055,0.237949826081633,0.0372787072696533,"5"
"157",157,"avrate+yellowCards+height+weight+meanIAT","157",0.171730973585316,0.0293636518008771,1.29528749661869,1.04640032554634,1.60337268436984,0.258732675622969,0.0174739681001027,"5"
"159",159,"avrate+position+yellowCards+height+weight+meanIAT","159",0.173620561385322,0.0384854857698323,1.34261711108685,1.0826490671379,1.66500924602338,0.294620777180502,0.00729265240005315,"6"
"161",161,"avrate+club+meanIAT","161",0.403798729710552,0.275045984356926,1.03410645353186,0.819655325978732,1.30466566048275,0.0335377239125194,0.777305607755298,"3"
"163",163,"avrate+position+club+meanIAT","163",0.40401233047947,0.283270028332395,1.07931261412221,0.854959281743766,1.3625394143068,0.076324370098766,0.520899793707039,"4"
"165",165,"avrate+yellowCards+club+meanIAT","165",0.407031504449343,0.327481818817944,1.08949890771481,0.871580123608666,1.36190332679582,0.0857178728456395,0.451556464971938,"4"
"167",167,"avrate+position+yellowCards+club+meanIAT","167",0.407500383315,0.33530010380493,1.1368277543842,0.908864031726662,1.42196995152614,0.128241711985656,0.261399417710535,"5"
"169",169,"avrate+height+club+meanIAT","169",0.403883194758972,0.278770213599672,1.04786230899133,0.832213605739373,1.31939133298491,0.046752192716889,0.690866549017664,"4"
"171",171,"avrate+position+height+club+meanIAT","171",0.4040400465534,0.28449930331885,1.07610124042841,0.853182160718747,1.3572645244669,0.0733445469309281,0.535728462060327,"5"
"173",173,"avrate+yellowCards+height+club+meanIAT","173",0.407171827031854,0.332433049104261,1.1032555507883,0.885044445942995,1.37526744100215,0.0982654004608194,0.382162571510845,"5"
"175",175,"avrate+position+yellowCards+height+club+meanIAT","175",0.407592199055199,0.336880467873951,1.133332547416,0.907105450429061,1.41597943483296,0.125162449497295,0.270571710004508,"6"
"177",177,"avrate+weight+club+meanIAT","177",0.404013049656084,0.279521903616244,1.01070079449544,0.802702805053641,1.27259564755782,0.0106439461825101,0.927858089936929,"4"
"179",179,"avrate+position+weight+club+meanIAT","179",0.404184993908935,0.285061204754345,1.04717234399501,0.8297149680042,1.32162243699869,0.0460935257871691,0.697926318363954,"5"
"181",181,"avrate+yellowCards+weight+club+meanIAT","181",0.407417117635937,0.332649669573577,1.05802125526554,0.848427693050604,1.3193923132904,0.0564004232773515,0.6165732192869,"5"
"183",183,"avrate+position+yellowCards+weight+club+meanIAT","183",0.40783215032907,0.337054741616957,1.10476629142703,0.883444045044111,1.38153464899125,0.0996338116292166,0.382395402894935,"6"
"185",185,"avrate+height+weight+club+meanIAT","185",0.404006268379579,0.279723272906251,1.02140317737159,0.810574350516047,1.28706817589354,0.0211773460270285,0.857516894211791,"5"
"187",187,"avrate+position+height+weight+club+meanIAT","187",0.404175843474417,0.285087628316741,1.04940567067351,0.831015172591143,1.32518911563066,0.0482239759851554,0.685420430927744,"6"
"189",189,"avrate+yellowCards+height+weight+club+meanIAT","189",0.407369749084207,0.333191389557435,1.07665461180887,0.862909495338674,1.343344996655,0.0738586520414204,0.513032027055356,"6"
"191",191,"avrate+position+yellowCards+height+weight+club+meanIAT","191",0.407783059109158,0.337220230959844,1.1120674277804,0.888885058479906,1.39128670476811,0.106220830483238,0.352691531788573,"7"
"193",193,"avrate+age+meanIAT","193",0.214214182709713,0.017430523919469,1.24624857025289,0.998018184126706,1.55621963964154,0.220137895053846,0.0520815071756862,"3"
"195",195,"avrate+position+age+meanIAT","195",0.21566503855932,0.0272092060675221,1.27967286817897,1.02375625595898,1.59956302100389,0.246604473532321,0.0302957937689612,"4"
"197",197,"avrate+yellowCards+age+meanIAT","197",0.177919781527082,0.036981810399066,1.29598303446348,1.0453571795903,1.60669679073274,0.259269507152639,0.0180539472147666,"4"
"199",199,"avrate+position+yellowCards+age+meanIAT","199",0.179599495428885,0.0462766843954485,1.34316851359278,1.08235325550631,1.66683256758268,0.295031385166942,0.007397378992131,"5"
"201",201,"avrate+height+age+meanIAT","201",0.214698581513357,0.0187434172358112,1.26663946006666,1.01495736618506,1.58073193539978,0.236367298938817,0.0364990883485077,"4"
"203",203,"avrate+position+height+age+meanIAT","203",0.21582794499404,0.0274539959786894,1.28468704965059,1.02804651998973,1.60539507060091,0.250515147558279,0.0275784018146588,"5"
"205",205,"avrate+yellowCards+height+age+meanIAT","205",0.178131502087697,0.0394258571120395,1.32364352880686,1.06918330201785,1.6386640046152,0.28038818320246,0.0100503718904664,"5"
"207",207,"avrate+position+yellowCards+height+age+meanIAT","207",0.179705144522513,0.0466608554002282,1.34908506322154,1.08756754954369,1.67348732368034,0.299426631739893,0.00645966042400187,"6"
"209",209,"avrate+weight+age+meanIAT","209",0.214453063985051,0.0184611295399071,1.25156648150965,1.00305890000396,1.56164175167806,0.224395951940765,0.0469214031719509,"4"
"211",211,"avrate+position+weight+age+meanIAT","211",0.215780147362042,0.0274632751371286,1.27788485315565,1.02265041667549,1.59682103610076,0.24520625264393,0.0310065784166775,"5"
"213",213,"avrate+yellowCards+weight+age+meanIAT","213",0.17807904556349,0.0388265423720906,1.30185390476394,1.05148584562051,1.61183680827292,0.263789329167924,0.0154922124249493,"5"
"215",215,"avrate+position+yellowCards+weight+age+meanIAT","215",0.179743675684148,0.0465593622259875,1.34130900381337,1.08120828734394,1.66398081181051,0.293646005654717,0.00758803584435457,"6"
"217",217,"avrate+height+weight+age+meanIAT","217",0.214659324495472,0.0187752171114431,1.26296483501585,1.01179924385607,1.57647891533068,0.23346200055466,0.0390508138880984,"5"
"219",219,"avrate+position+height+weight+age+meanIAT","219",0.215824255439304,0.0274968211233511,1.2811483435346,1.02496179185867,1.60136806189139,0.247756819125334,0.0295131855718705,"6"
"221",221,"avrate+yellowCards+height+weight+age+meanIAT","221",0.178144558213323,0.0394788545852362,1.31955066083807,1.06563654858138,1.63396605422006,0.277291270190164,0.0109914634875297,"6"
"223",223,"avrate+position+yellowCards+height+weight+age+meanIAT","223",0.179728657803164,0.0466739819866546,1.34747314032075,1.08596680222997,1.67195153678499,0.29823109063074,0.00674607307187832,"7"
"225",225,"avrate+club+age+meanIAT","225",0.408088265901802,0.283732716670387,1.09739809097419,0.871050077278095,1.38256410450822,0.0929420060514627,0.430350622257607,"4"
"227",227,"avrate+position+club+age+meanIAT","227",0.408096654829552,0.290131676087638,1.11538661728819,0.884417759728461,1.40667381714219,0.109201086773479,0.356300545599047,"5"
"229",229,"avrate+yellowCards+club+age+meanIAT","229",0.410888509458432,0.33152550402374,1.13652075185245,0.909033146378842,1.42093764626371,0.127971623582779,0.261431881975642,"5"
"231",231,"avrate+position+yellowCards+club+age+meanIAT","231",0.410708205673228,0.337715296062069,1.15993742927528,0.926960397086536,1.45146960329972,0.148366063383513,0.194644809597747,"6"
"233",233,"avrate+height+club+age+meanIAT","233",0.429248871950658,0.312123735739345,1.10672015259535,0.879918409688973,1.39198075943611,0.101400823750847,0.386143868397992,"5"
"235",235,"avrate+position+height+club+age+meanIAT","235",0.429303551701283,0.316687080095559,1.11258554161219,0.883018587700066,1.4018352553921,0.106686623439072,0.365556232349923,"6"
"237",237,"avrate+yellowCards+height+club+age+meanIAT","237",0.410763100166327,0.335952881645387,1.14624012535358,0.919284912122374,1.42922657344308,0.136487129810823,0.225362297267889,"6"
"239",239,"avrate+position+yellowCards+height+club+age+meanIAT","239",0.410791631560921,0.339334849119207,1.15681855093417,0.925586018026953,1.4458182532166,0.145673608716819,0.200430505365546,"7"
"241",241,"avrate+weight+club+age+meanIAT","241",0.429176083660764,0.312028612155737,1.07278986894559,0.852600845863114,1.3498439609771,0.0702626093777159,0.548865012854868,"5"
"243",243,"avrate+position+weight+club+age+meanIAT","243",0.429288156513043,0.316732250996561,1.08823579650706,0.862957140555983,1.37232441003543,0.0845578496830905,0.474908939285575,"6"
"245",245,"avrate+yellowCards+weight+club+age+meanIAT","245",0.410740378054014,0.335575576255899,1.1025525190892,0.883651161137613,1.375680937017,0.0976279635663787,0.387275076916667,"6"
"247",247,"avrate+position+yellowCards+weight+club+age+meanIAT","247",0.410850484883166,0.33918354989808,1.13129920379544,0.904230231915356,1.41538940342354,0.123366710153912,0.28047367179474,"7"
"249",249,"avrate+height+weight+club+age+meanIAT","249",0.429225404412046,0.312408494300251,1.09121006876848,0.866564403611209,1.37409223044424,0.0872872353083295,0.457970837018449,"6"
"251",251,"avrate+position+height+weight+club+age+meanIAT","251",0.429303844760138,0.316888989735862,1.09698381389624,0.869428310880313,1.38409742688491,0.0925644263038738,0.435174284142415,"7"
"253",253,"avrate+yellowCards+height+weight+club+age+meanIAT","253",0.410759100282488,0.336309759609536,1.12786085278518,0.90343764862592,1.40803308914573,0.12032278800676,0.287823875557087,"7"
"255",255,"avrate+position+yellowCards+height+weight+club+age+meanIAT","255",0.41083501550105,0.339492722808675,1.14387048655863,0.913883237898354,1.43173617346225,0.134417675498605,0.240527348780287,"8"
"257",257,"avrate+refCountry","257",0.75061834489422,0.710502834881069,1.21111107865602,0.96831542046894,1.51478538277642,0.1915381851011,0.0933648676414164,"2"
"259",259,"avrate+position+refCountry","259",0.75059772630289,0.713677746447008,1.26575814925132,1.01149143180485,1.58394193170511,0.235671270125903,0.0394148488641689,"3"
"261",261,"avrate+yellowCards+refCountry","261",0.748218220597907,0.72181136202005,1.25921065346267,1.01477720598264,1.56252176383729,0.23048505914606,0.0363327842072089,"3"
"263",263,"avrate+position+yellowCards+refCountry","263",0.748204913853934,0.724615680726926,1.32178873720409,1.06466546184774,1.6410088693658,0.278985923216042,0.0114817070972309,"4"
"265",265,"avrate+height+refCountry","265",0.750501261581902,0.711673344292851,1.23698091470761,0.990523102381322,1.5447613283045,0.212673664599012,0.0606593037218727,"3"
"267",267,"avrate+position+height+refCountry","267",0.750517066045484,0.714106573149864,1.27091402769481,1.01639884665269,1.58916204117198,0.239736348452032,0.0354985917157032,"4"
"269",269,"avrate+yellowCards+height+refCountry","269",0.748065355749026,0.72348187830486,1.28838815819615,1.04076320058491,1.59492961054655,0.253391947339957,0.0199728312178018,"4"
"271",271,"avrate+position+yellowCards+height+refCountry","271",0.748123023291761,0.72515051729908,1.32698274115659,1.06990898439282,1.64582522533612,0.282907749354858,0.0100235345600566,"5"
"273",273,"avrate+weight+refCountry","273",0.750459587176378,0.71191407154945,1.21310266849491,0.971804374135771,1.51431514765325,0.193181266524337,0.0877831624908547,"3"
