"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates"
"32",32,"club","32",0.403664677504416,0.275059103251822,1.0282155173235,0.427528928415388,2.472878628315,0.0278247922619149,0.95044759592369,"1"
"33",33,"avrate+club","33",0.403720478846869,0.275062749364388,1.03354901397081,0.819292818427636,1.30383611360117,0.0329985242408967,0.780704697678738,"2"
"34",34,"position+club","34",0.403765210079545,0.283252067906725,1.63201536384611,1.40626315223988,1.89400834657965,0.489815670618993,1.13112180211486e-10,"2"
"35",35,"avrate+position+club","35",0.403924977830017,0.283288336222337,1.07859279246768,0.854493462968153,1.36146437905119,0.0756572215953846,0.524332367097817,"3"
"36",36,"yellowCards+club","36",0.406957838491929,0.327379503026144,1.43720431331168,1.38414060824657,1.49230231805592,0.362699777443703,1.22740220659255e-79,"2"
"37",37,"avrate+yellowCards+club","37",0.407054584684668,0.327487003442259,1.08945864375008,0.871668379979414,1.36166478411182,0.0856809157560437,0.451471276360944,"3"
"38",38,"position+yellowCards+club","38",0.407274943028947,0.335121338876887,1.61194558508807,1.3968478609916,1.86016576453816,0.477441887365846,6.4200023668391e-11,"3"
"39",39,"avrate+position+yellowCards+club","39",0.407515046033277,0.335309010060534,1.13668335589892,0.908898294788712,1.42155514977391,0.128114685128543,0.261520904650949,"4"
"40",40,"height+club","40",0.403679259282892,0.278775855840234,1.02251589254196,1.0127444722697,1.03238159193077,0.0222661516423542,5.49671542717199e-06,"2"
"41",41,"avrate+height+club","41",0.40376603325917,0.278790197443717,1.04707543432139,0.83166469292184,1.31828004061051,0.0460009773555178,0.695468522827326,"3"
"42",42,"position+height+club","42",0.403782455225458,0.28448376532912,1.53066923539529,1.30897013816223,1.7899173097066,0.425705048524115,9.68006081848271e-08,"3"
"43",43,"avrate+position+height+club","43",0.403933845452107,0.284519690325826,1.07526259750185,0.852617088386103,1.35604794852862,0.0725649084948242,0.539868652128596,"4"
"44",44,"yellowCards+height+club","44",0.407024380413482,0.332321325970723,1.44583193869305,1.39253844995931,1.50116500912846,0.3686848920117,1.69426426038717e-82,"3"
"45",45,"avrate+yellowCards+height+club","45",0.407164763739206,0.332456568950506,1.10292438081929,0.884896785121327,1.37467127269406,0.0979651801870783,0.383330485448687,"4"
"46",46,"position+yellowCards+height+club","46",0.40735932630445,0.33671022095781,1.50923752930355,1.29901181569749,1.7534851433474,0.411604575816826,7.52449310836032e-08,"4"
"47",47,"avrate+position+yellowCards+height+club","47",0.407591412796309,0.336898306007735,1.1330304572547,0.907009530134618,1.41537434218169,0.124895863639282,0.27124716154178,"5"
"48",48,"weight+club","48",0.40388837478334,0.279540774059268,1.02412760240418,1.01468810186619,1.03365491728654,0.023841130576753,4.50510165674704e-07,"2"
"49",49,"avrate+weight+club","49",0.403906498166811,0.279538447605577,1.01002396341117,0.802239150449236,1.27162630506569,0.00997405672137797,0.932360204525213,"3"
"50",50,"position+weight+club","50",0.403991936589042,0.28507187218223,1.50884893559436,1.291287740988,1.76306568875371,0.411347065824414,2.24477324488738e-07,"3"
"51",51,"avrate+position+weight+club","51",0.404084298053796,0.285079024979616,1.04640528900296,0.829204644956421,1.32049915001491,0.0453607561833284,0.702354528734963,"4"
"52",52,"yellowCards+weight+club","52",0.407338032593357,0.33263182160577,1.44311908409865,1.38996952597647,1.49830097133006,0.366806801749594,8.19639174442838e-82,"3"
"53",53,"avrate+yellowCards+weight+club","53",0.407418091237948,0.332667097900673,1.05778640229039,0.848351650429368,1.31892484950567,0.0561784248596034,0.617750354398114,"4"
"54",54,"position+yellowCards+weight+club","54",0.407656964275295,0.336961778703339,1.50146911906585,1.29306763096099,1.74345831689634,0.406444041507041,9.75932539619048e-08,"4"
"55",55,"avrate+position+yellowCards+weight+club","55",0.407835851732156,0.337069075723179,1.10452318236329,0.883390321685346,1.38101067040269,0.0994137326693483,0.383108493770391,"5"
"56",56,"height+weight+club","56",0.403855561263314,0.279741618010155,1.00762727879783,0.992106584244416,1.02339078189948,0.00759833817255548,0.337369147522711,"3"
"57",57,"avrate+height+weight+club","57",0.403893247331785,0.279740734987106,1.02065755189176,0.810060654186783,1.28600473661999,0.0204470783104256,0.862323519660266,"4"
"58",58,"position+height+weight+club","58",0.403978997152902,0.285095350404348,1.50508659944577,1.28604267222234,1.76143896369839,0.40885043770539,3.48889674694695e-07,"4"
"59",59,"avrate+position+height+weight+club","59",0.404073550214931,0.285105732200634,1.0486081931522,0.830485023802767,1.32402043532464,0.0474637545457638,0.689966495568725,"5"
"60",60,"yellowCards+height+weight+club","60",0.407260976080415,0.33314148474989,1.44516094099173,1.39190942139241,1.50044975144923,0.368220693211288,2.39209618162578e-82,"4"
"61",61,"avrate+yellowCards+height+weight+club","61",0.40736413566392,0.333212810149816,1.07634813405753,0.862781516891518,1.34277946734781,0.0735739540734396,0.514398450884562,"5"
"62",62,"position+yellowCards+height+weight+club","62",0.407599760979708,0.337104957618584,1.49033295608979,1.281726617057,1.73289084462274,0.398999555456747,2.14704313212839e-07,"5"
"63",63,"avrate+position+yellowCards+height+weight+club","63",0.407783503079653,0.337236629516878,1.11178434322408,0.888804376368019,1.3907047025232,0.105966241070816,0.353494587942772,"6"
"96",96,"club+age","96",0.407804931237675,0.283621629789946,0.92847314296662,0.38672875482864,2.22911373009306,-0.0742138237917565,0.868093467622878,"2"
"97",97,"avrate+club+age","97",0.408051753148602,0.283738014074817,1.0970703971966,0.870878032317555,1.3820115007405,0.0926433517014074,0.431631987612833,"3"
"98",98,"position+club+age","98",0.407749125179457,0.290020713941675,1.56005509395215,1.34495495933802,1.80955643106735,0.444721137273821,4.22519758287902e-09,"3"
"99",99,"avrate+position+club+age","99",0.408053086809784,0.290136961235984,1.1149553698251,0.884190730464284,1.40594719427681,0.108814377048286,0.357736947221124,"4"
"100",100,"yellowCards+club+age","100",0.410679732957781,0.331276773999246,1.41446304196269,1.3618298580694,1.46913043888951,0.346749983431355,7.93222162560097e-72,"3"
"101",101,"avrate+yellowCards+club+age","101",0.410936279063312,0.33151714759092,1.13668509026531,0.909288062974993,1.4209501334529,0.128116210940512,0.260603422614885,"4"
"102",102,"position+yellowCards+club+age","102",0.410389087243943,0.337460008180838,1.56426131228279,1.35494669152104,1.80591123504483,0.447413707631598,1.03151827207641e-09,"4"
"103",103,"avrate+position+yellowCards+club+age","103",0.410745742093339,0.33770983401381,1.16001962124796,0.927180098843406,1.45133132533675,0.148436919844149,0.19410116656858,"5"
"104",104,"height+club+age","104",0.407722283505545,0.28647229054667,1.01907012950962,1.0093630713035,1.02887054062482,0.0188905737661102,0.000109545321580333,"3"
"105",105,"avrate+height+club+age","105",0.408004195339515,0.286619964489105,1.10616214332092,0.879560258791808,1.39114367103978,0.100896495719224,0.388309540454244,"4"
"106",106,"position+height+club+age","106",0.428968663473583,0.316591364290119,1.46526632208801,1.25347200500568,1.71284670584693,0.382037015768432,1.61717094209093e-06,"4"
"107",107,"avrate+position+height+club+age","107",0.429242178516141,0.31669596814177,1.11201852712631,0.882679501367567,1.40094474014213,0.106176856774408,0.367590908702889,"5"
"108",108,"yellowCards+height+club+age","108",0.410471672013193,0.335683316002303,1.42421807787188,1.37127170376028,1.47920877224758,0.353622945837304,9.09914090647388e-75,"4"
"109",109,"avrate+yellowCards+height+club+age","109",0.410776051226943,0.335961378614442,1.14609950429562,0.919293878007796,1.42886198327923,0.136364442006351,0.225500949508961,"5"
"110",110,"position+yellowCards+height+club+age","110",0.410463322816078,0.339080435251987,1.46526546133975,1.26044377658448,1.70337060016518,0.382036428333572,6.59692506852059e-07,"5"
"111",111,"avrate+position+yellowCards+height+club+age","111",0.410811179896478,0.339338046399297,1.1567283683954,0.92566464886382,1.44547004132977,0.145595648301961,0.20034252567042,"6"
"112",112,"weight+club+age","112",0.428933644665071,0.311981475585025,1.01832048699974,1.00884969377941,1.02788018932593,0.0181546888183382,0.000140042342901496,"3"
