"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates"
"128",128,"meanIAT","128",0.209357693598017,8.64786892604418e-05,1.9181103389468,0.124443590915489,29.564779072256,0.65134050293316,0.640697289788245,"1"
"129",129,"avrate+meanIAT","129",0.209534723081743,0.000804359777004736,1.21216872599004,0.969090593320349,1.51621843241089,0.192411090820982,0.0919869576922077,"2"
"130",130,"position+meanIAT","130",0.20962181398238,0.0118939690001574,1.6148968893555,1.38728237833079,1.87985662038607,0.479271109036095,6.28801486133285e-10,"2"
"131",131,"avrate+position+meanIAT","131",0.209966310960086,0.0130495571909407,1.27268272080246,1.01726117425308,1.59223742026566,0.241127051120412,0.0348842909308298,"3"
"132",132,"yellowCards+meanIAT","132",0.170521083146925,0.0240472068215256,1.43507654569035,1.38202090574307,1.49016898617988,0.36121818973345,8.54294368394794e-79,"2"
"133",133,"avrate+yellowCards+meanIAT","133",0.170520219177091,0.0253720031492651,1.27186964059363,1.02601120209274,1.57664202823931,0.240487975856063,0.0282166253993896,"3"
"134",134,"position+yellowCards+meanIAT","134",0.172941494659281,0.0358942366697013,1.60156198796437,1.38309269270141,1.85454005709662,0.470979395508688,3.08824461694221e-10,"3"
"135",135,"avrate+position+yellowCards+meanIAT","135",0.173213748945664,0.0378674875664476,1.34279675697889,1.0826736371204,1.66541704603501,0.294754571002338,0.00729628597948801,"4"
"136",136,"height+meanIAT","136",0.210380001833255,0.00234024837611785,1.01430161450347,1.00465941993356,1.02403634980338,0.0142003111401111,0.00357020512308503,"2"
"137",137,"avrate+height+meanIAT","137",0.210569264728045,0.00320027587480985,1.23869446939608,0.991141192579328,1.54807811440006,0.21405797772271,0.0598711926681228,"3"
"138",138,"position+height+meanIAT","138",0.209875719618283,0.0121665003334846,1.57378368583871,1.34156644447563,1.84619636247696,0.453482710969394,2.58537065773961e-08,"3"
"139",139,"avrate+position+height+meanIAT","139",0.210207905476946,0.0133470791620435,1.27783749441531,1.02164106243527,1.59828018094862,0.245169191700756,0.0317533577497731,"4"
"140",140,"yellowCards+height+meanIAT","140",0.171444882681164,0.0272939550725206,1.440417914568,1.38714781466803,1.49573372546815,0.364933289932679,2.46874888746584e-80,"3"
"141",141,"avrate+yellowCards+height+meanIAT","141",0.171403639194914,0.0288424394086755,1.30460016772746,1.05408258941634,1.61465677805847,0.265896608946046,0.0145209119529968,"4"
"142",142,"position+yellowCards+height+meanIAT","142",0.173151749236403,0.0362532500489173,1.55847935597608,1.33641925346384,1.817437078004,0.443710574052234,1.53568720172812e-08,"4"
"143",143,"avrate+position+yellowCards+height+meanIAT","143",0.173388718326856,0.0382756410955248,1.34881846229097,1.08794776370081,1.67224135654118,0.299228996109922,0.00636001528951109,"5"
"144",144,"weight+meanIAT","144",0.210488090532639,0.00300948310753129,1.01553612986775,1.00636843932559,1.02478733510154,0.0154166798079184,0.000862202449588487,"2"
"145",145,"avrate+weight+meanIAT","145",0.210633481496456,0.00375283899024151,1.22242664252336,0.978566669607262,1.52705680947693,0.200837934450587,0.076875110024688,"3"
"146",146,"position+weight+meanIAT","146",0.210118884290705,0.0126739293724957,1.5516967075123,1.3244051268036,1.8179955841122,0.439348982246636,5.4250895807369e-08,"3"
"147",147,"avrate+position+weight+meanIAT","147",0.210401016045515,0.0137921816688756,1.2704547990473,1.01599926402317,1.58863835199145,0.239374945850662,0.0358031377146959,"4"
