"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates"
"2",2,"position","2",0.209281303829171,0.0118102107122133,1.61510131208954,1.3874242646728,1.88014028205608,0.479397686651044,6.26241760862817e-10,"1"
"3",3,"avrate+position","3",0.209613163669046,0.0129602449154576,1.26960701087521,1.01494444027281,1.58816768495252,0.238707412328248,0.0366329566539446,"2"
"6",6,"position+yellowCards","6",0.172730048664817,0.0358749008159169,1.60166042026044,1.38315260439059,1.85468768499274,0.471040853805091,3.08739445958639e-10,"2"
"7",7,"avrate+position+yellowCards","7",0.172978901698467,0.0378399367518174,1.33967075776916,1.08037755152658,1.66119495604648,0.292423880615512,0.00771339424485589,"3"
"10",10,"position+height","10",0.209520753502335,0.012078115010996,1.57460048047937,1.34223503529075,1.84719263611592,0.454001576911945,2.50287125279907e-08,"2"
"11",11,"avrate+position+height","11",0.209843761443557,0.0132538556968878,1.27450085896466,1.01911303688114,1.59388839188318,0.242554618795878,0.0335114261138925,"3"
"14",14,"position+yellowCards+height","14",0.172923356247526,0.0362300627402103,1.55908614715788,1.33691917301073,1.81817245449893,0.444099846507845,1.49680690883566e-08,"3"
"15",15,"avrate+position+yellowCards+height","15",0.173142434100384,0.0382435590003322,1.34534111417293,1.08536624892296,1.66758706130776,0.296647597384029,0.00677570469790259,"4"
"18",18,"position+weight","18",0.209764683486843,0.0125852033269789,1.55218661007872,1.324791793584,1.81861276932413,0.43966465298575,5.33182294231028e-08,"2"
"19",19,"avrate+position+weight","19",0.210037410678557,0.0136987053653558,1.26727671279315,1.01359444475383,1.58445054143707,0.23687027748779,0.0376682515265193,"3"
"22",22,"position+yellowCards+weight","22",0.173224752480602,0.0365233164172406,1.55029049283519,1.33084272005104,1.80592385258193,0.438442328103589,1.80042092326684e-08,"3"
"23",23,"avrate+position+yellowCards+weight","23",0.173399947141477,0.038444167385735,1.33717673726235,1.07884034869756,1.65737370578901,0.290560478809393,0.00798254936949233,"4"
"26",26,"position+height+weight","26",0.209741696002289,0.0126194792400675,1.5587442750119,1.32808173965126,1.82946850509397,0.443880545198246,5.5565153522227e-08,"3"
"27",27,"avrate+position+height+weight","27",0.210022538461458,0.0137147794727351,1.2653648075173,1.01164592998255,1.58271589757783,0.235360465993581,0.039267375470968,"4"
"30",30,"position+yellowCards+height+weight","30",0.173218620927189,0.0365228950164078,1.54909921875009,1.32769265706018,1.80742762775056,0.437673612805017,2.66783792581435e-08,"4"
"31",31,"avrate+position+yellowCards+height+weight","31",0.173376429571294,0.0384536855325371,1.33917305124788,1.08010284958073,1.6603830476743,0.29205229752781,0.00775785909720925,"5"
"34",34,"position+club","34",0.403765210079545,0.283252067906725,1.63201536384611,1.40626315223988,1.89400834657965,0.489815670618993,1.13112180211486e-10,"2"
"35",35,"avrate+position+club","35",0.403924977830017,0.283288336222337,1.07859279246768,0.854493462968153,1.36146437905119,0.0756572215953846,0.524332367097817,"3"
"38",38,"position+yellowCards+club","38",0.407274943028947,0.335121338876887,1.61194558508807,1.3968478609916,1.86016576453816,0.477441887365846,6.4200023668391e-11,"3"
"39",39,"avrate+position+yellowCards+club","39",0.407515046033277,0.335309010060534,1.13668335589892,0.908898294788712,1.42155514977391,0.128114685128543,0.261520904650949,"4"
"42",42,"position+height+club","42",0.403782455225458,0.28448376532912,1.53066923539529,1.30897013816223,1.7899173097066,0.425705048524115,9.68006081848271e-08,"3"
"43",43,"avrate+position+height+club","43",0.403933845452107,0.284519690325826,1.07526259750185,0.852617088386103,1.35604794852862,0.0725649084948242,0.539868652128596,"4"
"46",46,"position+yellowCards+height+club","46",0.40735932630445,0.33671022095781,1.50923752930355,1.29901181569749,1.7534851433474,0.411604575816826,7.52449310836032e-08,"4"
"47",47,"avrate+position+yellowCards+height+club","47",0.407591412796309,0.336898306007735,1.1330304572547,0.907009530134618,1.41537434218169,0.124895863639282,0.27124716154178,"5"
"50",50,"position+weight+club","50",0.403991936589042,0.28507187218223,1.50884893559436,1.291287740988,1.76306568875371,0.411347065824414,2.24477324488738e-07,"3"
"51",51,"avrate+position+weight+club","51",0.404084298053796,0.285079024979616,1.04640528900296,0.829204644956421,1.32049915001491,0.0453607561833284,0.702354528734963,"4"
