"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates"
"8",8,"height","8",0.210003207622533,0.00223738744237861,1.01421943743013,1.00457974711229,1.02395162775078,0.0141192894782448,0.00375875952964743,"1"
"9",9,"avrate+height","9",0.210191368219554,0.00309483457087397,1.23552726682629,0.988722829969065,1.54393888843348,0.211497815669848,0.0628554001523142,"2"
"10",10,"position+height","10",0.209520753502335,0.012078115010996,1.57460048047937,1.34223503529075,1.84719263611592,0.454001576911945,2.50287125279907e-08,"2"
"11",11,"avrate+position+height","11",0.209843761443557,0.0132538556968878,1.27450085896466,1.01911303688114,1.59388839188318,0.242554618795878,0.0335114261138925,"3"
"12",12,"yellowCards+height","12",0.171196959077544,0.0272654625095414,1.44049980414953,1.38723376400525,1.4958111167679,0.364990139582372,2.22202999650199e-80,"2"
"13",13,"avrate+yellowCards+height","13",0.171149578880207,0.0288068680488667,1.30124380859126,1.05156421170343,1.61020642444099,0.263320582888659,0.0154131114220726,"3"
"14",14,"position+yellowCards+height","14",0.172923356247526,0.0362300627402103,1.55908614715788,1.33691917301073,1.81817245449893,0.444099846507845,1.49680690883566e-08,"3"
"15",15,"avrate+position+yellowCards+height","15",0.173142434100384,0.0382435590003322,1.34534111417293,1.08536624892296,1.66758706130776,0.296647597384029,0.00677570469790259,"4"
"24",24,"height+weight","24",0.210181570320945,0.00297501037677698,1.00376716076176,0.988358226226099,1.01941632728743,0.00376008278201582,0.63380572736554,"2"
"25",25,"avrate+height+weight","25",0.210344889833937,0.00375510245896927,1.22583567295408,0.98092453174707,1.53189470591632,0.203622793419647,0.073357611399262,"3"
"26",26,"position+height+weight","26",0.209741696002289,0.0126194792400675,1.5587442750119,1.32808173965126,1.82946850509397,0.443880545198246,5.5565153522227e-08,"3"
"27",27,"avrate+position+height+weight","27",0.210022538461458,0.0137147794727351,1.2653648075173,1.01164592998255,1.58271589757783,0.235360465993581,0.039267375470968,"4"
"28",28,"yellowCards+height+weight","28",0.171563274596829,0.0278916193922861,1.43979340205926,1.38655825494481,1.49507244518614,0.364499632502809,3.49360823712325e-80,"3"
"29",29,"avrate+yellowCards+height+weight","29",0.171477622813635,0.0293272058964886,1.29201201384808,1.04395540717807,1.59900991215715,0.256200703961206,0.0185002708447376,"4"
"30",30,"position+yellowCards+height+weight","30",0.173218620927189,0.0365228950164078,1.54909921875009,1.32769265706018,1.80742762775056,0.437673612805017,2.66783792581435e-08,"4"
"31",31,"avrate+position+yellowCards+height+weight","31",0.173376429571294,0.0384536855325371,1.33917305124788,1.08010284958073,1.6603830476743,0.29205229752781,0.00775785909720925,"5"
"40",40,"height+club","40",0.403679259282892,0.278775855840234,1.02251589254196,1.0127444722697,1.03238159193077,0.0222661516423542,5.49671542717199e-06,"2"
"41",41,"avrate+height+club","41",0.40376603325917,0.278790197443717,1.04707543432139,0.83166469292184,1.31828004061051,0.0460009773555178,0.695468522827326,"3"
"42",42,"position+height+club","42",0.403782455225458,0.28448376532912,1.53066923539529,1.30897013816223,1.7899173097066,0.425705048524115,9.68006081848271e-08,"3"
"43",43,"avrate+position+height+club","43",0.403933845452107,0.284519690325826,1.07526259750185,0.852617088386103,1.35604794852862,0.0725649084948242,0.539868652128596,"4"
"44",44,"yellowCards+height+club","44",0.407024380413482,0.332321325970723,1.44583193869305,1.39253844995931,1.50116500912846,0.3686848920117,1.69426426038717e-82,"3"
"45",45,"avrate+yellowCards+height+club","45",0.407164763739206,0.332456568950506,1.10292438081929,0.884896785121327,1.37467127269406,0.0979651801870783,0.383330485448687,"4"
"46",46,"position+yellowCards+height+club","46",0.40735932630445,0.33671022095781,1.50923752930355,1.29901181569749,1.7534851433474,0.411604575816826,7.52449310836032e-08,"4"
"47",47,"avrate+position+yellowCards+height+club","47",0.407591412796309,0.336898306007735,1.1330304572547,0.907009530134618,1.41537434218169,0.124895863639282,0.27124716154178,"5"
"56",56,"height+weight+club","56",0.403855561263314,0.279741618010155,1.00762727879783,0.992106584244416,1.02339078189948,0.00759833817255548,0.337369147522711,"3"
"57",57,"avrate+height+weight+club","57",0.403893247331785,0.279740734987106,1.02065755189176,0.810060654186783,1.28600473661999,0.0204470783104256,0.862323519660266,"4"
"58",58,"position+height+weight+club","58",0.403978997152902,0.285095350404348,1.50508659944577,1.28604267222234,1.76143896369839,0.40885043770539,3.48889674694695e-07,"4"
"59",59,"avrate+position+height+weight+club","59",0.404073550214931,0.285105732200634,1.0486081931522,0.830485023802767,1.32402043532464,0.0474637545457638,0.689966495568725,"5"
"60",60,"yellowCards+height+weight+club","60",0.407260976080415,0.33314148474989,1.44516094099173,1.39190942139241,1.50044975144923,0.368220693211288,2.39209618162578e-82,"4"
"61",61,"avrate+yellowCards+height+weight+club","61",0.40736413566392,0.333212810149816,1.07634813405753,0.862781516891518,1.34277946734781,0.0735739540734396,0.514398450884562,"5"
"62",62,"position+yellowCards+height+weight+club","62",0.407599760979708,0.337104957618584,1.49033295608979,1.281726617057,1.73289084462274,0.398999555456747,2.14704313212839e-07,"5"
"63",63,"avrate+position+yellowCards+height+weight+club","63",0.407783503079653,0.337236629516878,1.11178434322408,0.888804376368019,1.3907047025232,0.105966241070816,0.353494587942772,"6"
"72",72,"height+age","72",0.213594542880443,0.017236436530701,1.01125868415135,1.00169708869422,1.02091154882422,0.0111957768952033,0.0208996548886591,"2"
"73",73,"avrate+height+age","73",0.214338474528267,0.0186274960608625,1.26380111691868,1.01283171341077,1.57695818760085,0.234123939134862,0.038186370144071,"3"
"74",74,"position+height+age","74",0.214662601977978,0.0258797043517916,1.50213630846055,1.28121841560578,1.76114662551789,0.406888300529586,5.35275487591286e-07,"3"
"75",75,"avrate+position+height+age","75",0.215486888701843,0.0273520834837087,1.28177260815609,1.02588543854152,1.60148585533586,0.248243970032916,0.0288966819311357,"4"
"76",76,"yellowCards+height+age","76",0.177338336082465,0.0374037794512349,1.41874821875661,1.36595202880374,1.47358506432165,0.349774946744839,4.82138681803653e-73,"3"
"77",77,"avrate+yellowCards+height+age","77",0.177886916047756,0.0393746545173049,1.32066811223876,1.06699877232668,1.63464505107254,0.278137754185204,0.0105917327163831,"4"
"78",78,"position+yellowCards+height+age","78",0.178780262261096,0.0444749859173216,1.50610486901168,1.29090360055152,1.75718146226533,0.409526761091262,1.93129159630006e-07,"4"
"79",79,"avrate+position+yellowCards+height+age","79",0.179474148721659,0.0466173027040851,1.34604650201308,1.08536402972162,1.66933962796461,0.29717177892671,0.00681349352534371,"5"
"88",88,"height+weight+age","88",0.213571193314465,0.0173028149613662,1.00722873752785,0.991826987300644,1.02286965639344,0.0072027354377247,0.359593532288703,"3"
"89",89,"avrate+height+weight+age","89",0.21429993934982,0.0186600678708348,1.26013177932088,1.00968372623141,1.57270248098507,0.231216302257172,0.0408342899923913,"4"
"90",90,"position+height+weight+age","90",0.214684159403836,0.0259585848449461,1.4963316154342,1.27568404702317,1.75514329631439,0.403016523058538,7.37258383723414e-07,"4"
"91",91,"avrate+position+height+weight+age","91",0.215484724902089,0.0273959867336289,1.27823655942775,1.02280925964791,1.59745200431617,0.245481440099884,0.0309085693859137,"5"
"92",92,"yellowCards+height+weight+age","92",0.177379985875803,0.037507363938621,1.4187833493641,1.36598967933486,1.47361742397129,0.349799708131026,4.59805722594594e-73,"4"
"93",93,"avrate+yellowCards+height+weight+age","93",0.177901268845922,0.0394282470383782,1.31659149730572,1.06347244257488,1.62995588920084,0.275046197961307,0.0115735168531457,"5"
"94",94,"position+yellowCards+height+weight+age","94",0.178836551522709,0.0445160747399599,1.50290354976654,1.28759926848536,1.75420966381711,0.407398936899721,2.41458544163997e-07,"5"
"95",95,"avrate+position+yellowCards+height+weight+age","95",0.179498826576595,0.0466308365352031,1.34441734883896,1.08375709824539,1.66777039872262,0.29596072130724,0.00711496637622929,"6"
"104",104,"height+club+age","104",0.407722283505545,0.28647229054667,1.01907012950962,1.0093630713035,1.02887054062482,0.0188905737661102,0.000109545321580333,"3"
"105",105,"avrate+height+club+age","105",0.408004195339515,0.286619964489105,1.10616214332092,0.879560258791808,1.39114367103978,0.100896495719224,0.388309540454244,"4"
"106",106,"position+height+club+age","106",0.428968663473583,0.316591364290119,1.46526632208801,1.25347200500568,1.71284670584693,0.382037015768432,1.61717094209093e-06,"4"
"107",107,"avrate+position+height+club+age","107",0.429242178516141,0.31669596814177,1.11201852712631,0.882679501367567,1.40094474014213,0.106176856774408,0.367590908702889,"5"
"108",108,"yellowCards+height+club+age","108",0.410471672013193,0.335683316002303,1.42421807787188,1.37127170376028,1.47920877224758,0.353622945837304,9.09914090647388e-75,"4"
"109",109,"avrate+yellowCards+height+club+age","109",0.410776051226943,0.335961378614442,1.14609950429562,0.919293878007796,1.42886198327923,0.136364442006351,0.225500949508961,"5"
"110",110,"position+yellowCards+height+club+age","110",0.410463322816078,0.339080435251987,1.46526546133975,1.26044377658448,1.70337060016518,0.382036428333572,6.59692506852059e-07,"5"
"111",111,"avrate+position+yellowCards+height+club+age","111",0.410811179896478,0.339338046399297,1.1567283683954,0.92566464886382,1.44547004132977,0.145595648301961,0.20034252567042,"6"
"120",120,"height+weight+club+age","120",0.428927702691171,0.312326756242185,1.01133820853948,0.995771818019198,1.02714794046533,0.0112744128195957,0.154278894900062,"4"
"121",121,"avrate+height+weight+club+age","121",0.429154536851035,0.312417539863436,1.09066563507647,0.866217948790586,1.37327046755104,0.0867881842374089,0.460352493305422,"5"
"122",122,"position+height+weight+club+age","122",0.429009984655947,0.316824238474269,1.45255669190743,1.24174411356849,1.69915920691714,0.373325239555359,3.0677242479803e-06,"5"
"123",123,"avrate+position+height+weight+club+age","123",0.429243820695906,0.316897095621683,1.09643136271284,0.869101546748892,1.38322355729009,0.0920606902114301,0.43742535587569,"6"
