"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates"
"4",4,"yellowCards","4",0.170324853807868,0.0240295942011697,1.43516013038031,1.38210717394872,1.49024955419965,0.361276432101179,7.75777998988418e-79,"1"
"5",5,"avrate+yellowCards","5",0.170303742751893,0.0253483345765002,1.2694732699916,1.0242686252249,1.57337864651407,0.238602066400636,0.029336027579497,"2"
"6",6,"position+yellowCards","6",0.172730048664817,0.0358749008159169,1.60166042026044,1.38315260439059,1.85468768499274,0.471040853805091,3.08739445958639e-10,"2"
"7",7,"avrate+position+yellowCards","7",0.172978901698467,0.0378399367518174,1.33967075776916,1.08037755152658,1.66119495604648,0.292423880615512,0.00771339424485589,"3"
"12",12,"yellowCards+height","12",0.171196959077544,0.0272654625095414,1.44049980414953,1.38723376400525,1.4958111167679,0.364990139582372,2.22202999650199e-80,"2"
"13",13,"avrate+yellowCards+height","13",0.171149578880207,0.0288068680488667,1.30124380859126,1.05156421170343,1.61020642444099,0.263320582888659,0.0154131114220726,"3"
"14",14,"position+yellowCards+height","14",0.172923356247526,0.0362300627402103,1.55908614715788,1.33691917301073,1.81817245449893,0.444099846507845,1.49680690883566e-08,"3"
"15",15,"avrate+position+yellowCards+height","15",0.173142434100384,0.0382435590003322,1.34534111417293,1.08536624892296,1.66758706130776,0.296647597384029,0.00677570469790259,"4"
"20",20,"yellowCards+weight","20",0.171577715058188,0.0276165939896751,1.43836679396601,1.38523360386516,1.49353800558352,0.363508299072479,6.63007743249674e-80,"2"
"21",21,"avrate+yellowCards+weight","21",0.171499492517744,0.0289403856616636,1.27872554838087,1.03346983720643,1.58218360054117,0.245863916600099,0.0236366529657899,"3"
"22",22,"position+yellowCards+weight","22",0.173224752480602,0.0365233164172406,1.55029049283519,1.33084272005104,1.80592385258193,0.438442328103589,1.80042092326684e-08,"3"
"23",23,"avrate+position+yellowCards+weight","23",0.173399947141477,0.038444167385735,1.33717673726235,1.07884034869756,1.65737370578901,0.290560478809393,0.00798254936949233,"4"
"28",28,"yellowCards+height+weight","28",0.171563274596829,0.0278916193922861,1.43979340205926,1.38655825494481,1.49507244518614,0.364499632502809,3.49360823712325e-80,"3"
"29",29,"avrate+yellowCards+height+weight","29",0.171477622813635,0.0293272058964886,1.29201201384808,1.04395540717807,1.59900991215715,0.256200703961206,0.0185002708447376,"4"
"30",30,"position+yellowCards+height+weight","30",0.173218620927189,0.0365228950164078,1.54909921875009,1.32769265706018,1.80742762775056,0.437673612805017,2.66783792581435e-08,"4"
"31",31,"avrate+position+yellowCards+height+weight","31",0.173376429571294,0.0384536855325371,1.33917305124788,1.08010284958073,1.6603830476743,0.29205229752781,0.00775785909720925,"5"
"36",36,"yellowCards+club","36",0.406957838491929,0.327379503026144,1.43720431331168,1.38414060824657,1.49230231805592,0.362699777443703,1.22740220659255e-79,"2"
"37",37,"avrate+yellowCards+club","37",0.407054584684668,0.327487003442259,1.08945864375008,0.871668379979414,1.36166478411182,0.0856809157560437,0.451471276360944,"3"
"38",38,"position+yellowCards+club","38",0.407274943028947,0.335121338876887,1.61194558508807,1.3968478609916,1.86016576453816,0.477441887365846,6.4200023668391e-11,"3"
"39",39,"avrate+position+yellowCards+club","39",0.407515046033277,0.335309010060534,1.13668335589892,0.908898294788712,1.42155514977391,0.128114685128543,0.261520904650949,"4"
"44",44,"yellowCards+height+club","44",0.407024380413482,0.332321325970723,1.44583193869305,1.39253844995931,1.50116500912846,0.3686848920117,1.69426426038717e-82,"3"
"45",45,"avrate+yellowCards+height+club","45",0.407164763739206,0.332456568950506,1.10292438081929,0.884896785121327,1.37467127269406,0.0979651801870783,0.383330485448687,"4"
"46",46,"position+yellowCards+height+club","46",0.40735932630445,0.33671022095781,1.50923752930355,1.29901181569749,1.7534851433474,0.411604575816826,7.52449310836032e-08,"4"
"47",47,"avrate+position+yellowCards+height+club","47",0.407591412796309,0.336898306007735,1.1330304572547,0.907009530134618,1.41537434218169,0.124895863639282,0.27124716154178,"5"
"52",52,"yellowCards+weight+club","52",0.407338032593357,0.33263182160577,1.44311908409865,1.38996952597647,1.49830097133006,0.366806801749594,8.19639174442838e-82,"3"
"53",53,"avrate+yellowCards+weight+club","53",0.407418091237948,0.332667097900673,1.05778640229039,0.848351650429368,1.31892484950567,0.0561784248596034,0.617750354398114,"4"
"54",54,"position+yellowCards+weight+club","54",0.407656964275295,0.336961778703339,1.50146911906585,1.29306763096099,1.74345831689634,0.406444041507041,9.75932539619048e-08,"4"
"55",55,"avrate+position+yellowCards+weight+club","55",0.407835851732156,0.337069075723179,1.10452318236329,0.883390321685346,1.38101067040269,0.0994137326693483,0.383108493770391,"5"
"60",60,"yellowCards+height+weight+club","60",0.407260976080415,0.33314148474989,1.44516094099173,1.39190942139241,1.50044975144923,0.368220693211288,2.39209618162578e-82,"4"
"61",61,"avrate+yellowCards+height+weight+club","61",0.40736413566392,0.333212810149816,1.07634813405753,0.862781516891518,1.34277946734781,0.0735739540734396,0.514398450884562,"5"
"62",62,"position+yellowCards+height+weight+club","62",0.407599760979708,0.337104957618584,1.49033295608979,1.281726617057,1.73289084462274,0.398999555456747,2.14704313212839e-07,"5"
"63",63,"avrate+position+yellowCards+height+weight+club","63",0.407783503079653,0.337236629516878,1.11178434322408,0.888804376368019,1.3907047025232,0.105966241070816,0.353494587942772,"6"
"68",68,"yellowCards+age","68",0.177145130698268,0.0351555954581483,1.413111695092,1.360580306242,1.46767129705214,0.345794148767916,1.39778167641511e-71,"2"
"69",69,"avrate+yellowCards+age","69",0.177719058735524,0.0369441108359151,1.29388913504065,1.04388126224185,1.60377348874032,0.257652516241878,0.0186729299514321,"3"
"70",70,"position+yellowCards+age","70",0.178659489430687,0.0441380318521948,1.54870029683344,1.33695209641371,1.79398545082186,0.437416061006169,5.50397085549134e-09,"3"
"71",71,"avrate+position+yellowCards+age","71",0.179383148675822,0.0462383181508075,1.3404777321513,1.0804303739753,1.66311554513421,0.293026066956721,0.00774470371242731,"4"
"76",76,"yellowCards+height+age","76",0.177338336082465,0.0374037794512349,1.41874821875661,1.36595202880374,1.47358506432165,0.349774946744839,4.82138681803653e-73,"3"
"77",77,"avrate+yellowCards+height+age","77",0.177886916047756,0.0393746545173049,1.32066811223876,1.06699877232668,1.63464505107254,0.278137754185204,0.0105917327163831,"4"
"78",78,"position+yellowCards+height+age","78",0.178780262261096,0.0444749859173216,1.50610486901168,1.29090360055152,1.75718146226533,0.409526761091262,1.93129159630006e-07,"4"
"79",79,"avrate+position+yellowCards+height+age","79",0.179474148721659,0.0466173027040851,1.34604650201308,1.08536402972162,1.66933962796461,0.29717177892671,0.00681349352534371,"5"
"84",84,"yellowCards+weight+age","84",0.177363216143125,0.0370234703956278,1.417215227212,1.36450983839349,1.47195640788218,0.34869383852668,1.07180104078852e-72,"3"
"85",85,"avrate+yellowCards+weight+age","85",0.177851416937122,0.0387819189872342,1.29938109438156,1.0496981428206,1.60845404937023,0.261888069859877,0.0161518987682206,"4"
"86",86,"position+yellowCards+weight+age","86",0.178858758301253,0.0444559063531852,1.51233835891418,1.29790121802167,1.76220445753911,0.413657035072453,1.14409977853538e-07,"4"
"87",87,"avrate+position+yellowCards+weight+age","87",0.179519950312825,0.0465187801753383,1.3385240332891,1.07920320795265,1.66015684024092,0.291567539206767,0.00796123087021347,"5"
"92",92,"yellowCards+height+weight+age","92",0.177379985875803,0.037507363938621,1.4187833493641,1.36598967933486,1.47361742397129,0.349799708131026,4.59805722594594e-73,"4"
