"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates"
"8",8,"height","8",0.210003207622533,0.00223738744237861,1.01421943743013,1.00457974711229,1.02395162775078,0.0141192894782448,0.00375875952964743,"1"
"9",9,"avrate+height","9",0.210191368219554,0.00309483457087397,1.23552726682629,0.988722829969065,1.54393888843348,0.211497815669848,0.0628554001523142,"2"
"10",10,"position+height","10",0.209520753502335,0.012078115010996,1.57460048047937,1.34223503529075,1.84719263611592,0.454001576911945,2.50287125279907e-08,"2"
"11",11,"avrate+position+height","11",0.209843761443557,0.0132538556968878,1.27450085896466,1.01911303688114,1.59388839188318,0.242554618795878,0.0335114261138925,"3"
"12",12,"yellowCards+height","12",0.171196959077544,0.0272654625095414,1.44049980414953,1.38723376400525,1.4958111167679,0.364990139582372,2.22202999650199e-80,"2"
"13",13,"avrate+yellowCards+height","13",0.171149578880207,0.0288068680488667,1.30124380859126,1.05156421170343,1.61020642444099,0.263320582888659,0.0154131114220726,"3"
"14",14,"position+yellowCards+height","14",0.172923356247526,0.0362300627402103,1.55908614715788,1.33691917301073,1.81817245449893,0.444099846507845,1.49680690883566e-08,"3"
"15",15,"avrate+position+yellowCards+height","15",0.173142434100384,0.0382435590003322,1.34534111417293,1.08536624892296,1.66758706130776,0.296647597384029,0.00677570469790259,"4"
"24",24,"height+weight","24",0.210181570320945,0.00297501037677698,1.00376716076176,0.988358226226099,1.01941632728743,0.00376008278201582,0.63380572736554,"2"
"25",25,"avrate+height+weight","25",0.210344889833937,0.00375510245896927,1.22583567295408,0.98092453174707,1.53189470591632,0.203622793419647,0.073357611399262,"3"
"26",26,"position+height+weight","26",0.209741696002289,0.0126194792400675,1.5587442750119,1.32808173965126,1.82946850509397,0.443880545198246,5.5565153522227e-08,"3"
"27",27,"avrate+position+height+weight","27",0.210022538461458,0.0137147794727351,1.2653648075173,1.01164592998255,1.58271589757783,0.235360465993581,0.039267375470968,"4"
"28",28,"yellowCards+height+weight","28",0.171563274596829,0.0278916193922861,1.43979340205926,1.38655825494481,1.49507244518614,0.364499632502809,3.49360823712325e-80,"3"
"29",29,"avrate+yellowCards+height+weight","29",0.171477622813635,0.0293272058964886,1.29201201384808,1.04395540717807,1.59900991215715,0.256200703961206,0.0185002708447376,"4"
"30",30,"position+yellowCards+height+weight","30",0.173218620927189,0.0365228950164078,1.54909921875009,1.32769265706018,1.80742762775056,0.437673612805017,2.66783792581435e-08,"4"
"31",31,"avrate+position+yellowCards+height+weight","31",0.173376429571294,0.0384536855325371,1.33917305124788,1.08010284958073,1.6603830476743,0.29205229752781,0.00775785909720925,"5"
"72",72,"height+age","72",0.213594542880443,0.017236436530701,1.01125868415135,1.00169708869422,1.02091154882422,0.0111957768952033,0.0208996548886591,"2"
"73",73,"avrate+height+age","73",0.214338474528267,0.0186274960608625,1.26380111691868,1.01283171341077,1.57695818760085,0.234123939134862,0.038186370144071,"3"
"74",74,"position+height+age","74",0.214662601977978,0.0258797043517916,1.50213630846055,1.28121841560578,1.76114662551789,0.406888300529586,5.35275487591286e-07,"3"
"75",75,"avrate+position+height+age","75",0.215486888701843,0.0273520834837087,1.28177260815609,1.02588543854152,1.60148585533586,0.248243970032916,0.0288966819311357,"4"
"76",76,"yellowCards+height+age","76",0.177338336082465,0.0374037794512349,1.41874821875661,1.36595202880374,1.47358506432165,0.349774946744839,4.82138681803653e-73,"3"
"77",77,"avrate+yellowCards+height+age","77",0.177886916047756,0.0393746545173049,1.32066811223876,1.06699877232668,1.63464505107254,0.278137754185204,0.0105917327163831,"4"
"78",78,"position+yellowCards+height+age","78",0.178780262261096,0.0444749859173216,1.50610486901168,1.29090360055152,1.75718146226533,0.409526761091262,1.93129159630006e-07,"4"
"79",79,"avrate+position+yellowCards+height+age","79",0.179474148721659,0.0466173027040851,1.34604650201308,1.08536402972162,1.66933962796461,0.29717177892671,0.00681349352534371,"5"
"88",88,"height+weight+age","88",0.213571193314465,0.0173028149613662,1.00722873752785,0.991826987300644,1.02286965639344,0.0072027354377247,0.359593532288703,"3"
"89",89,"avrate+height+weight+age","89",0.21429993934982,0.0186600678708348,1.26013177932088,1.00968372623141,1.57270248098507,0.231216302257172,0.0408342899923913,"4"
"90",90,"position+height+weight+age","90",0.214684159403836,0.0259585848449461,1.4963316154342,1.27568404702317,1.75514329631439,0.403016523058538,7.37258383723414e-07,"4"
"91",91,"avrate+position+height+weight+age","91",0.215484724902089,0.0273959867336289,1.27823655942775,1.02280925964791,1.59745200431617,0.245481440099884,0.0309085693859137,"5"
"92",92,"yellowCards+height+weight+age","92",0.177379985875803,0.037507363938621,1.4187833493641,1.36598967933486,1.47361742397129,0.349799708131026,4.59805722594594e-73,"4"
"93",93,"avrate+yellowCards+height+weight+age","93",0.177901268845922,0.0394282470383782,1.31659149730572,1.06347244257488,1.62995588920084,0.275046197961307,0.0115735168531457,"5"
"94",94,"position+yellowCards+height+weight+age","94",0.178836551522709,0.0445160747399599,1.50290354976654,1.28759926848536,1.75420966381711,0.407398936899721,2.41458544163997e-07,"5"
"95",95,"avrate+position+yellowCards+height+weight+age","95",0.179498826576595,0.0466308365352031,1.34441734883896,1.08375709824539,1.66777039872262,0.29596072130724,0.00711496637622929,"6"
"136",136,"height+meanIAT","136",0.210380001833255,0.00234024837611785,1.01430161450347,1.00465941993356,1.02403634980338,0.0142003111401111,0.00357020512308503,"2"
"137",137,"avrate+height+meanIAT","137",0.210569264728045,0.00320027587480985,1.23869446939608,0.991141192579328,1.54807811440006,0.21405797772271,0.0598711926681228,"3"
"138",138,"position+height+meanIAT","138",0.209875719618283,0.0121665003334846,1.57378368583871,1.34156644447563,1.84619636247696,0.453482710969394,2.58537065773961e-08,"3"
"139",139,"avrate+position+height+meanIAT","139",0.210207905476946,0.0133470791620435,1.27783749441531,1.02164106243527,1.59828018094862,0.245169191700756,0.0317533577497731,"4"
"140",140,"yellowCards+height+meanIAT","140",0.171444882681164,0.0272939550725206,1.440417914568,1.38714781466803,1.49573372546815,0.364933289932679,2.46874888746584e-80,"3"
"141",141,"avrate+yellowCards+height+meanIAT","141",0.171403639194914,0.0288424394086755,1.30460016772746,1.05408258941634,1.61465677805847,0.265896608946046,0.0145209119529968,"4"
"142",142,"position+yellowCards+height+meanIAT","142",0.173151749236403,0.0362532500489173,1.55847935597608,1.33641925346384,1.817437078004,0.443710574052234,1.53568720172812e-08,"4"
"143",143,"avrate+position+yellowCards+height+meanIAT","143",0.173388718326856,0.0382756410955248,1.34881846229097,1.08794776370081,1.67224135654118,0.299228996109922,0.00636001528951109,"5"
"152",152,"height+weight+meanIAT","152",0.210557152318548,0.00307812874607167,1.00387830994452,0.988464488854015,1.01953248957425,0.0038708086890488,0.623919234688884,"3"
"153",153,"avrate+height+weight+meanIAT","153",0.210723958472898,0.00386135701629851,1.22893582306385,0.983281780237978,1.53596180419828,0.206148610395264,0.0700187179928649,"4"
"154",154,"position+height+weight+meanIAT","154",0.210093789466725,0.0127069762840244,1.55800650045313,1.32747976676386,1.82856591582689,0.443407119746101,5.7180541102411e-08,"4"
"155",155,"avrate+position+height+weight+meanIAT","155",0.210385803552317,0.0138074861992487,1.26864553831035,1.0141212930051,1.58705029958055,0.237949826081633,0.0372787072696533,"5"
"156",156,"yellowCards+height+weight+meanIAT","156",0.17180874589557,0.0279209725098385,1.43971575756455,1.38647658919203,1.49499925115042,0.364445703523654,3.86448389459625e-80,"4"
"157",157,"avrate+yellowCards+height+weight+meanIAT","157",0.171730973585316,0.0293636518008771,1.29528749661869,1.04640032554634,1.60337268436984,0.258732675622969,0.0174739681001027,"5"
"158",158,"position+yellowCards+height+weight+meanIAT","158",0.173443777893397,0.0365459910336965,1.54854753107108,1.3272402829143,1.80675608392544,0.437317414871944,2.72923342175991e-08,"5"
"159",159,"avrate+position+yellowCards+height+weight+meanIAT","159",0.173620561385322,0.0384854857698323,1.34261711108685,1.0826490671379,1.66500924602338,0.294620777180502,0.00729265240005315,"6"
"200",200,"height+age+meanIAT","200",0.213925527105979,0.0173351430917067,1.01132417518425,1.00175930389809,1.02098037256278,0.0112605366973687,0.0202057841251413,"3"
"201",201,"avrate+height+age+meanIAT","201",0.214698581513357,0.0187434172358112,1.26663946006666,1.01495736618506,1.58073193539978,0.236367298938817,0.0364990883485077,"4"
"202",202,"position+height+age+meanIAT","202",0.214967456543546,0.0259644388366606,1.50163236134775,1.28080664188754,1.76053096142892,0.406552757301775,5.45641010375508e-07,"4"
"203",203,"avrate+position+height+age+meanIAT","203",0.21582794499404,0.0274539959786894,1.28468704965059,1.02804651998973,1.60539507060091,0.250515147558279,0.0275784018146588,"5"
"204",204,"yellowCards+height+age+meanIAT","204",0.177549766600486,0.0374379904348344,1.41870542449936,1.36590429442328,1.47354766342084,0.349744782898917,5.16884676152379e-73,"4"
"205",205,"avrate+yellowCards+height+age+meanIAT","205",0.178131502087697,0.0394258571120395,1.32364352880686,1.06918330201785,1.6386640046152,0.28038818320246,0.0100503718904664,"5"
"206",206,"position+yellowCards+height+age+meanIAT","206",0.178970071811651,0.0445025373511763,1.50572172071058,1.29059041305696,1.75671373139168,0.409272331899037,1.96101405048384e-07,"5"
"207",207,"avrate+position+yellowCards+height+age+meanIAT","207",0.179705144522513,0.0466608554002282,1.34908506322154,1.08756754954369,1.67348732368034,0.299426631739893,0.00645966042400187,"6"
"216",216,"height+weight+age+meanIAT","216",0.213900465865607,0.0174005734108166,1.00731633773439,0.991909394497015,1.022962591035,0.00728970316822506,0.353943203910569,"4"
"217",217,"avrate+height+weight+age+meanIAT","217",0.214659324495472,0.0187752171114431,1.26296483501585,1.01179924385607,1.57647891533068,0.23346200055466,0.0390508138880984,"5"
"218",218,"position+height+weight+age+meanIAT","218",0.214986805937182,0.0260420897644681,1.49586951707013,1.27530833827776,1.75457616400549,0.402707654538487,7.50060689235247e-07,"5"
