"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates"
"4",4,"yellowCards","4",0.170324853807868,0.0240295942011697,1.43516013038031,1.38210717394872,1.49024955419965,0.361276432101179,7.75777998988418e-79,"1"
"5",5,"avrate+yellowCards","5",0.170303742751893,0.0253483345765002,1.2694732699916,1.0242686252249,1.57337864651407,0.238602066400636,0.029336027579497,"2"
"6",6,"position+yellowCards","6",0.172730048664817,0.0358749008159169,1.60166042026044,1.38315260439059,1.85468768499274,0.471040853805091,3.08739445958639e-10,"2"
"7",7,"avrate+position+yellowCards","7",0.172978901698467,0.0378399367518174,1.33967075776916,1.08037755152658,1.66119495604648,0.292423880615512,0.00771339424485589,"3"
"12",12,"yellowCards+height","12",0.171196959077544,0.0272654625095414,1.44049980414953,1.38723376400525,1.4958111167679,0.364990139582372,2.22202999650199e-80,"2"
"13",13,"avrate+yellowCards+height","13",0.171149578880207,0.0288068680488667,1.30124380859126,1.05156421170343,1.61020642444099,0.263320582888659,0.0154131114220726,"3"
"14",14,"position+yellowCards+height","14",0.172923356247526,0.0362300627402103,1.55908614715788,1.33691917301073,1.81817245449893,0.444099846507845,1.49680690883566e-08,"3"
"15",15,"avrate+position+yellowCards+height","15",0.173142434100384,0.0382435590003322,1.34534111417293,1.08536624892296,1.66758706130776,0.296647597384029,0.00677570469790259,"4"
"20",20,"yellowCards+weight","20",0.171577715058188,0.0276165939896751,1.43836679396601,1.38523360386516,1.49353800558352,0.363508299072479,6.63007743249674e-80,"2"
"21",21,"avrate+yellowCards+weight","21",0.171499492517744,0.0289403856616636,1.27872554838087,1.03346983720643,1.58218360054117,0.245863916600099,0.0236366529657899,"3"
"22",22,"position+yellowCards+weight","22",0.173224752480602,0.0365233164172406,1.55029049283519,1.33084272005104,1.80592385258193,0.438442328103589,1.80042092326684e-08,"3"
"23",23,"avrate+position+yellowCards+weight","23",0.173399947141477,0.038444167385735,1.33717673726235,1.07884034869756,1.65737370578901,0.290560478809393,0.00798254936949233,"4"
"28",28,"yellowCards+height+weight","28",0.171563274596829,0.0278916193922861,1.43979340205926,1.38655825494481,1.49507244518614,0.364499632502809,3.49360823712325e-80,"3"
"29",29,"avrate+yellowCards+height+weight","29",0.171477622813635,0.0293272058964886,1.29201201384808,1.04395540717807,1.59900991215715,0.256200703961206,0.0185002708447376,"4"
"30",30,"position+yellowCards+height+weight","30",0.173218620927189,0.0365228950164078,1.54909921875009,1.32769265706018,1.80742762775056,0.437673612805017,2.66783792581435e-08,"4"
"31",31,"avrate+position+yellowCards+height+weight","31",0.173376429571294,0.0384536855325371,1.33917305124788,1.08010284958073,1.6603830476743,0.29205229752781,0.00775785909720925,"5"
"68",68,"yellowCards+age","68",0.177145130698268,0.0351555954581483,1.413111695092,1.360580306242,1.46767129705214,0.345794148767916,1.39778167641511e-71,"2"
"69",69,"avrate+yellowCards+age","69",0.177719058735524,0.0369441108359151,1.29388913504065,1.04388126224185,1.60377348874032,0.257652516241878,0.0186729299514321,"3"
"70",70,"position+yellowCards+age","70",0.178659489430687,0.0441380318521948,1.54870029683344,1.33695209641371,1.79398545082186,0.437416061006169,5.50397085549134e-09,"3"
"71",71,"avrate+position+yellowCards+age","71",0.179383148675822,0.0462383181508075,1.3404777321513,1.0804303739753,1.66311554513421,0.293026066956721,0.00774470371242731,"4"
"76",76,"yellowCards+height+age","76",0.177338336082465,0.0374037794512349,1.41874821875661,1.36595202880374,1.47358506432165,0.349774946744839,4.82138681803653e-73,"3"
"77",77,"avrate+yellowCards+height+age","77",0.177886916047756,0.0393746545173049,1.32066811223876,1.06699877232668,1.63464505107254,0.278137754185204,0.0105917327163831,"4"
"78",78,"position+yellowCards+height+age","78",0.178780262261096,0.0444749859173216,1.50610486901168,1.29090360055152,1.75718146226533,0.409526761091262,1.93129159630006e-07,"4"
"79",79,"avrate+position+yellowCards+height+age","79",0.179474148721659,0.0466173027040851,1.34604650201308,1.08536402972162,1.66933962796461,0.29717177892671,0.00681349352534371,"5"
"84",84,"yellowCards+weight+age","84",0.177363216143125,0.0370234703956278,1.417215227212,1.36450983839349,1.47195640788218,0.34869383852668,1.07180104078852e-72,"3"
"85",85,"avrate+yellowCards+weight+age","85",0.177851416937122,0.0387819189872342,1.29938109438156,1.0496981428206,1.60845404937023,0.261888069859877,0.0161518987682206,"4"
"86",86,"position+yellowCards+weight+age","86",0.178858758301253,0.0444559063531852,1.51233835891418,1.29790121802167,1.76220445753911,0.413657035072453,1.14409977853538e-07,"4"
"87",87,"avrate+position+yellowCards+weight+age","87",0.179519950312825,0.0465187801753383,1.3385240332891,1.07920320795265,1.66015684024092,0.291567539206767,0.00796123087021347,"5"
"92",92,"yellowCards+height+weight+age","92",0.177379985875803,0.037507363938621,1.4187833493641,1.36598967933486,1.47361742397129,0.349799708131026,4.59805722594594e-73,"4"
"93",93,"avrate+yellowCards+height+weight+age","93",0.177901268845922,0.0394282470383782,1.31659149730572,1.06347244257488,1.62995588920084,0.275046197961307,0.0115735168531457,"5"
"94",94,"position+yellowCards+height+weight+age","94",0.178836551522709,0.0445160747399599,1.50290354976654,1.28759926848536,1.75420966381711,0.407398936899721,2.41458544163997e-07,"5"
"95",95,"avrate+position+yellowCards+height+weight+age","95",0.179498826576595,0.0466308365352031,1.34441734883896,1.08375709824539,1.66777039872262,0.29596072130724,0.00711496637622929,"6"
"132",132,"yellowCards+meanIAT","132",0.170521083146925,0.0240472068215256,1.43507654569035,1.38202090574307,1.49016898617988,0.36121818973345,8.54294368394794e-79,"2"
"133",133,"avrate+yellowCards+meanIAT","133",0.170520219177091,0.0253720031492651,1.27186964059363,1.02601120209274,1.57664202823931,0.240487975856063,0.0282166253993896,"3"
"134",134,"position+yellowCards+meanIAT","134",0.172941494659281,0.0358942366697013,1.60156198796437,1.38309269270141,1.85454005709662,0.470979395508688,3.08824461694221e-10,"3"
"135",135,"avrate+position+yellowCards+meanIAT","135",0.173213748945664,0.0378674875664476,1.34279675697889,1.0826736371204,1.66541704603501,0.294754571002338,0.00729628597948801,"4"
"140",140,"yellowCards+height+meanIAT","140",0.171444882681164,0.0272939550725206,1.440417914568,1.38714781466803,1.49573372546815,0.364933289932679,2.46874888746584e-80,"3"
"141",141,"avrate+yellowCards+height+meanIAT","141",0.171403639194914,0.0288424394086755,1.30460016772746,1.05408258941634,1.61465677805847,0.265896608946046,0.0145209119529968,"4"
"142",142,"position+yellowCards+height+meanIAT","142",0.173151749236403,0.0362532500489173,1.55847935597608,1.33641925346384,1.817437078004,0.443710574052234,1.53568720172812e-08,"4"
"143",143,"avrate+position+yellowCards+height+meanIAT","143",0.173388718326856,0.0382756410955248,1.34881846229097,1.08794776370081,1.67224135654118,0.299228996109922,0.00636001528951109,"5"
"148",148,"yellowCards+weight+meanIAT","148",0.171813526115588,0.0276447473519923,1.43827778890056,1.38514153181966,1.49345243826969,0.363446417903002,7.3635632679479e-80,"3"
"149",149,"avrate+yellowCards+weight+meanIAT","149",0.171747163155256,0.0289751982945172,1.28157706909584,1.03558676363403,1.58599920519331,0.248091404768517,0.0225162149990411,"4"
"150",150,"position+yellowCards+weight+meanIAT","150",0.173450405849551,0.0365465590078201,1.54994692824194,1.33057120562451,1.80549185959505,0.438220690501049,1.82349906935167e-08,"4"
"151",151,"avrate+position+yellowCards+weight+meanIAT","151",0.173644802093062,0.0384757649514744,1.34042475313739,1.08124208808431,1.66173564516601,0.292986543688563,0.00753022181157115,"5"
