"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates","n"
"128",128,"meanIAT","128",0.209357693598017,8.64786892604418e-05,1.9181103389468,0.124443590915489,29.564779072256,0.65134050293316,0.640697289788245,"1",1
"1",1,"avrate","1",0.209188426356661,0.000714012684700751,1.20966747792573,0.967207636197863,1.51290721080686,0.190345510209389,0.0953517304142451,"1",2
"129",129,"avrate+meanIAT","129",0.209534723081743,0.000804359777004736,1.21216872599004,0.969090593320349,1.51621843241089,0.192411090820982,0.0919869576922077,"2",3
"8",8,"height","8",0.210003207622533,0.00223738744237861,1.01421943743013,1.00457974711229,1.02395162775078,0.0141192894782448,0.00375875952964743,"1",4
"136",136,"height+meanIAT","136",0.210380001833255,0.00234024837611785,1.01430161450347,1.00465941993356,1.02403634980338,0.0142003111401111,0.00357020512308503,"2",5
"16",16,"weight","16",0.210117887817299,0.00290809774736961,1.01549081848105,1.00632406652348,1.02474107171246,0.0153720606198321,0.000891947889229624,"1",6
"24",24,"height+weight","24",0.210181570320945,0.00297501037677698,1.00376716076176,0.988358226226099,1.01941632728743,0.00376008278201582,0.63380572736554,"2",7
"144",144,"weight+meanIAT","144",0.210488090532639,0.00300948310753129,1.01553612986775,1.00636843932559,1.02478733510154,0.0154166798079184,0.000862202449588487,"2",8
"152",152,"height+weight+meanIAT","152",0.210557152318548,0.00307812874607167,1.00387830994452,0.988464488854015,1.01953248957425,0.0038708086890488,0.623919234688884,"3",9
"9",9,"avrate+height","9",0.210191368219554,0.00309483457087397,1.23552726682629,0.988722829969065,1.54393888843348,0.211497815669848,0.0628554001523142,"2",10
"137",137,"avrate+height+meanIAT","137",0.210569264728045,0.00320027587480985,1.23869446939608,0.991141192579328,1.54807811440006,0.21405797772271,0.0598711926681228,"3",11
"17",17,"avrate+weight","17",0.210259370632537,0.00364842248792577,1.21959893874311,0.976415948922609,1.52334829539046,0.198522065963586,0.0801835717585224,"2",12
"145",145,"avrate+weight+meanIAT","145",0.210633481496456,0.00375283899024151,1.22242664252336,0.978566669607262,1.52705680947693,0.200837934450587,0.076875110024688,"3",13
"25",25,"avrate+height+weight","25",0.210344889833937,0.00375510245896927,1.22583567295408,0.98092453174707,1.53189470591632,0.203622793419647,0.073357611399262,"3",14
"153",153,"avrate+height+weight+meanIAT","153",0.210723958472898,0.00386135701629851,1.22893582306385,0.983281780237978,1.53596180419828,0.206148610395264,0.0700187179928649,"4",15
"2",2,"position","2",0.209281303829171,0.0118102107122133,1.61510131208954,1.3874242646728,1.88014028205608,0.479397686651044,6.26241760862817e-10,"1",16
"130",130,"position+meanIAT","130",0.20962181398238,0.0118939690001574,1.6148968893555,1.38728237833079,1.87985662038607,0.479271109036095,6.28801486133285e-10,"2",17
"10",10,"position+height","10",0.209520753502335,0.012078115010996,1.57460048047937,1.34223503529075,1.84719263611592,0.454001576911945,2.50287125279907e-08,"2",18
"138",138,"position+height+meanIAT","138",0.209875719618283,0.0121665003334846,1.57378368583871,1.34156644447563,1.84619636247696,0.453482710969394,2.58537065773961e-08,"3",19
"18",18,"position+weight","18",0.209764683486843,0.0125852033269789,1.55218661007872,1.324791793584,1.81861276932413,0.43966465298575,5.33182294231028e-08,"2",20
"26",26,"position+height+weight","26",0.209741696002289,0.0126194792400675,1.5587442750119,1.32808173965126,1.82946850509397,0.443880545198246,5.5565153522227e-08,"3",21
"146",146,"position+weight+meanIAT","146",0.210118884290705,0.0126739293724957,1.5516967075123,1.3244051268036,1.8179955841122,0.439348982246636,5.4250895807369e-08,"3",22
"154",154,"position+height+weight+meanIAT","154",0.210093789466725,0.0127069762840244,1.55800650045313,1.32747976676386,1.82856591582689,0.443407119746101,5.7180541102411e-08,"4",23
"3",3,"avrate+position","3",0.209613163669046,0.0129602449154576,1.26960701087521,1.01494444027281,1.58816768495252,0.238707412328248,0.0366329566539446,"2",24
"131",131,"avrate+position+meanIAT","131",0.209966310960086,0.0130495571909407,1.27268272080246,1.01726117425308,1.59223742026566,0.241127051120412,0.0348842909308298,"3",25
"11",11,"avrate+position+height","11",0.209843761443557,0.0132538556968878,1.27450085896466,1.01911303688114,1.59388839188318,0.242554618795878,0.0335114261138925,"3",26
"139",139,"avrate+position+height+meanIAT","139",0.210207905476946,0.0133470791620435,1.27783749441531,1.02164106243527,1.59828018094862,0.245169191700756,0.0317533577497731,"4",27
"19",19,"avrate+position+weight","19",0.210037410678557,0.0136987053653558,1.26727671279315,1.01359444475383,1.58445054143707,0.23687027748779,0.0376682515265193,"3",28
"27",27,"avrate+position+height+weight","27",0.210022538461458,0.0137147794727351,1.2653648075173,1.01164592998255,1.58271589757783,0.235360465993581,0.039267375470968,"4",29
"147",147,"avrate+position+weight+meanIAT","147",0.210401016045515,0.0137921816688756,1.2704547990473,1.01599926402317,1.58863835199145,0.239374945850662,0.0358031377146959,"4",30
"155",155,"avrate+position+height+weight+meanIAT","155",0.210385803552317,0.0138074861992487,1.26864553831035,1.0141212930051,1.58705029958055,0.237949826081633,0.0372787072696533,"5",31
"64",64,"age","64",0.213169961493469,0.0160515835934165,1.06358950115968,1.04723224908312,1.08020224545943,0.0616495092959672,6.38240272386334e-15,"1",32
"192",192,"age+meanIAT","192",0.213460092570077,0.0161352404322968,1.06354992649866,1.04719117624852,1.08016422579832,0.0616123000180883,6.67792846920093e-15,"2",33
"80",80,"weight+age","80",0.213430340112683,0.0170830998765336,1.01035549943177,1.00120935033841,1.01958519952594,0.0103022485582863,0.026387581035247,"2",34
"208",208,"weight+age+meanIAT","208",0.213746275956683,0.0171757094292421,1.01039243287525,1.00124477452324,1.01962366684778,0.0103388027894136,0.025877131683177,"3",35
